Time [ms],Lat,Lng,GPS Alt [m],Sats,Pressure [hPa],Raw Baro Alt [m],Filter Baro Alt [m],Baro Vert Vel [m/s],Baro Vert Acc [m/s^2],Baro Temp [°C],Bat 1 Voltage [V],IMU Acc X [m/s^2],IMU Acc Y [m/s^2],IMU Acc Z [m/s^2],IMU Gyr X [deg/s],IMU Gyr Y [deg/s],IMU Gyr Z [deg/s],State
24836.00,0.0000,0.0000,0.00,0.00,1014.56,-0.67,-0.71,0.05,0.13,26.0,0.00,-0.86,-2.29,-0.08,59.63,4.46,3.85, 2
24851.00,0.0000,0.0000,0.00,0.00,1014.56,-0.67,-0.71,0.06,0.13,26.0,0.00,-1.24,-1.46,-0.05,178.34,-0.43,-112.85, 2
24858.00,0.0000,0.0000,0.00,0.00,1014.56,-0.67,-0.71,0.06,0.14,26.0,0.00,-1.03,-0.99,-0.36,211.18,-20.45,-153.08, 2
24866.00,0.0000,0.0000,0.00,0.00,1014.56,-0.67,-0.70,0.06,0.14,26.0,0.00,-0.23,0.41,-0.11,259.16,-60.73,-231.99, 2
24873.00,0.0000,0.0000,0.00,0.00,1014.56,-0.67,-0.70,0.07,0.14,26.0,0.00,0.10,1.19,-0.32,252.56,-70.50,-245.48, 2
24881.00,0.0000,0.0000,0.00,0.00,1014.59,-0.91,-0.71,0.05,0.13,26.0,0.00,0.56,2.38,-0.73,213.38,-27.95,-219.60, 2
24888.00,0.0000,0.0000,0.00,0.00,1014.59,-0.91,-0.73,0.04,0.11,26.0,0.00,0.65,2.81,-0.65,188.90,10.68,-191.59, 2
24895.00,0.0000,0.0000,0.00,0.00,1014.59,-0.91,-0.74,0.03,0.10,26.0,0.00,0.72,3.47,-0.33,137.82,48.46,-123.29, 2
24973.00,0.0000,0.0000,0.00,0.00,1014.59,-0.91,-0.76,0.02,0.08,26.0,0.00,0.60,0.33,-0.41,-245.00,17.21,230.29, 2
24980.00,0.0000,0.0000,0.00,0.00,1014.59,-0.91,-0.78,0.00,0.07,26.0,0.00,0.46,-0.29,-0.43,-235.66,21.79,240.30, 2
24988.00,0.0000,0.0000,0.00,0.00,1014.72,-2.00,-0.90,-0.12,-0.04,26.0,0.00,0.02,-1.38,-0.45,-182.98,25.39,234.13, 2
24994.00,0.0000,0.0000,0.00,0.00,1014.72,-2.00,-1.01,-0.23,-0.13,26.0,0.00,-0.28,-1.78,-0.35,-141.72,30.52,211.18, 2
25001.00,0.0000,0.0000,0.00,0.00,1014.72,-2.00,-1.10,-0.32,-0.21,26.0,0.00,-0.68,-2.19,-0.07,-48.46,20.51,126.83, 2
25008.00,0.0000,0.0000,0.00,0.00,1014.72,-2.00,-1.18,-0.40,-0.28,26.0,0.00,-0.81,-2.17,-0.02,-5.07,11.29,72.45, 2
25016.00,0.0000,0.0000,0.00,0.00,1014.72,-2.00,-1.25,-0.47,-0.34,26.0,0.00,-0.76,-1.72,-0.08,66.53,-2.26,-40.41, 2
25024.00,0.0000,0.0000,0.00,0.00,1014.72,-2.00,-1.32,-0.54,-0.40,26.0,0.00,-0.56,-1.34,-0.12,96.56,-7.02,-88.07, 2
25031.00,0.0000,0.0000,0.00,0.00,1014.52,-0.33,-1.24,-0.46,-0.33,25.9,0.00,-0.20,-0.50,-0.12,144.10,-14.47,-148.62, 2
25038.00,0.0000,0.0000,0.00,0.00,1014.52,-0.33,-1.17,-0.39,-0.26,25.9,0.00,-0.07,-0.06,-0.11,158.20,-14.77,-164.92, 2
25045.00,0.0000,0.0000,0.00,0.00,1014.52,-0.33,-1.11,-0.32,-0.20,25.9,0.00,0.12,0.82,-0.19,169.56,-12.76,-179.99, 2
25052.00,0.0000,0.0000,0.00,0.00,1014.52,-0.33,-1.05,-0.27,-0.15,25.9,0.00,0.18,1.26,-0.24,169.80,-11.41,-180.85, 2
25060.00,0.0000,0.0000,0.00,0.00,1014.52,-0.33,-1.00,-0.21,-0.10,25.9,0.00,0.30,2.05,-0.28,162.48,-10.31,-170.59, 2
25067.00,0.0000,0.0000,0.00,0.00,1014.52,-0.33,-0.95,-0.16,-0.06,25.9,0.00,0.35,2.37,-0.27,153.93,-9.77,-159.18, 2
25076.00,0.0000,0.0000,0.00,0.00,1014.53,-0.42,-0.91,-0.12,-0.02,25.9,0.00,0.70,3.58,0.83,80.57,-56.34,-102.23, 2
25083.00,0.0000,0.0000,0.00,0.00,1014.53,-0.42,-0.87,-0.09,0.01,25.9,0.00,0.22,3.07,-1.33,-10.13,-53.71,-49.62, 2
25090.00,0.0000,0.0000,0.00,0.00,1014.53,-0.42,-0.84,-0.05,0.04,25.9,0.00,0.79,3.05,-0.29,86.79,25.27,-49.99, 2
