Time [ms],Lat,Lng,GPS Alt [m],Sats,Pressure [hPa],Raw Baro Alt [m],Filter Baro Alt [m],Baro Vert Vel [m/s],Baro Vert Acc [m/s^2],Baro Temp [°C],Bat 1 Voltage [V],IMU Acc X [m/s^2],IMU Acc Y [m/s^2],IMU Acc Z [m/s^2],IMU Gyr X [deg/s],IMU Gyr Y [deg/s],IMU Gyr Z [deg/s],State
63148.00,0.0000,0.0000,0.00,0.00,1022.18,-0.91,-1.03,-0.23,-0.10,24.6,4.17,1.69,3.27,2.60,1.98,-4.61,8.38, 3
63182.00,0.0000,0.0000,0.00,0.00,1022.18,-0.91,-1.02,-0.22,-0.09,24.6,4.17,-0.10,3.33,2.95,1.11,-5.02,8.60, 3
63193.00,0.0000,0.0000,0.00,0.00,1022.18,-0.91,-1.01,-0.21,-0.08,24.6,4.17,-0.93,3.14,3.24,0.62,-5.33,8.19, 3
63204.00,0.0000,0.0000,0.00,0.00,1022.17,-0.83,-0.99,-0.20,-0.07,24.5,4.17,-1.65,3.09,2.89,0.65,-5.45,7.67, 3
63214.00,0.0000,0.0000,0.00,0.00,1022.17,-0.83,-0.98,-0.18,-0.05,24.5,4.17,-3.17,2.83,2.28,0.96,-5.36,7.22, 3
63224.00,0.0000,0.0000,0.00,0.00,1022.17,-0.83,-0.97,-0.17,-0.04,24.5,4.17,-4.06,2.55,1.90,1.02,-4.95,6.74, 3
63235.00,0.0000,0.0000,0.00,0.00,1022.17,-0.83,-0.95,-0.15,-0.03,24.5,4.17,-5.32,2.44,1.43,0.70,-4.12,6.38, 3
63246.00,0.0000,0.0000,0.00,0.00,1022.08,-0.08,-0.87,-0.07,0.05,24.5,4.17,-6.14,2.28,0.67,0.44,-3.14,6.19, 3
63256.00,0.0000,0.0000,0.00,0.00,1022.08,-0.08,-0.80,0.00,0.11,24.5,4.17,-6.51,2.40,-0.12,-0.02,-1.90,5.98, 3
63266.00,0.0000,0.0000,0.00,0.00,1022.08,-0.08,-0.74,0.07,0.17,24.5,4.17,-6.73,2.20,0.11,0.06,-1.26,5.58, 3
63277.00,0.0000,0.0000,0.00,0.00,1022.08,-0.08,-0.68,0.13,0.22,24.5,4.15,-6.41,1.53,-0.06,0.74,-0.61,4.46, 3
63289.00,0.0000,0.0000,0.00,0.00,1022.03,0.33,-0.59,0.22,0.30,24.5,4.15,-6.17,1.00,-0.27,1.79,-0.04,2.86, 3
63299.00,0.0000,0.0000,0.00,0.00,1022.03,0.33,-0.50,0.31,0.37,24.5,4.15,-5.86,-0.02,-0.48,2.86,0.53,0.69, 3
63309.00,0.0000,0.0000,0.00,0.00,1022.03,0.33,-0.43,0.38,0.43,24.5,4.15,-5.16,-0.81,-0.74,3.66,1.04,-1.18, 3
63320.00,0.0000,0.0000,0.00,0.00,1022.03,0.33,-0.36,0.45,0.49,24.5,4.15,-4.67,-1.13,-0.86,4.38,1.95,-3.61, 3
63330.00,0.0000,0.0000,0.00,0.00,1022.04,0.25,-0.30,0.51,0.53,24.5,4.15,-3.98,-1.30,-0.78,4.31,2.80,-5.23, 3
63340.00,0.0000,0.0000,0.00,0.00,1022.04,0.25,-0.25,0.56,0.57,24.5,4.15,-3.44,-0.99,-0.54,3.82,3.74,-6.49, 3
63350.00,0.0000,0.0000,0.00,0.00,1022.04,0.25,-0.20,0.61,0.61,24.5,4.15,-2.49,-0.34,-0.06,2.98,4.60,-7.04, 3
63361.00,0.0000,0.0000,0.00,0.00,1022.04,0.25,-0.16,0.65,0.64,24.5,4.15,-1.53,0.30,0.40,2.03,5.11,-6.98, 3
63372.00,0.0000,0.0000,0.00,0.00,1022.12,-0.41,-0.17,0.64,0.62,24.5,4.15,-0.88,0.68,0.82,0.87,5.23,-6.40, 3
63382.00,0.0000,0.0000,0.00,0.00,1022.12,-0.41,-0.19,0.62,0.61,24.5,4.16,0.02,1.15,1.35,-0.12,4.92,-5.54, 3
63393.00,0.0000,0.0000,0.00,0.00,1022.12,-0.41,-0.20,0.61,0.59,24.5,4.16,0.57,1.41,1.78,-0.63,4.25,-4.68, 3
63405.00,0.0000,0.0000,0.00,0.00,1022.12,-0.41,-0.21,0.60,0.57,24.5,4.16,1.89,1.63,1.87,-1.15,3.23,-3.93, 3
63416.00,0.0000,0.0000,0.00,0.00,1022.09,-0.17,-0.20,0.61,0.58,24.5,4.16,3.02,1.31,0.57,-1.58,2.92,-3.80, 3
63427.00,0.0000,0.0000,0.00,0.00,1022.09,-0.17,-0.19,0.62,0.58,24.5,4.16,2.74,0.99,1.35,-0.75,2.42,-4.02, 3
63438.00,0.0000,0.0000,0.00,0.00,1022.09,-0.17,-0.18,0.62,0.58,24.5,4.16,2.58,0.89,1.12,-0.12,1.79,-4.51, 3
63449.00,0.0000,0.0000,0.00,0.00,1022.09,-0.17,-0.17,0.63,0.58,24.5,4.16,2.78,0.93,0.85,0.16,1.41,-5.01, 3
63460.00,0.0000,0.0000,0.00,0.00,1022.12,-0.41,-0.19,0.62,0.56,24.5,4.16,2.81,1.30,0.45,0.34,1.43,-4.99, 3
63470.00,0.0000,0.0000,0.00,0.00,1022.12,-0.41,-0.20,0.60,0.54,24.5,4.16,2.79,1.58,0.53,0.55,1.34,-4.56, 3
63480.00,0.0000,0.0000,0.00,0.00,1022.12,-0.41,-0.21,0.59,0.53,24.5,4.16,2.61,1.52,0.37,0.51,1.25,-4.16, 3
63491.00,0.0000,0.0000,0.00,0.00,1022.12,-0.41,-0.23,0.58,0.51,24.5,4.17,2.28,1.43,0.50,0.41,0.96,-3.70, 3
63505.00,0.0000,0.0000,0.00,0.00,1022.14,-0.58,-0.25,0.55,0.48,24.5,4.17,2.05,1.32,0.42,0.39,0.67,-3.23, 3
63515.00,0.0000,0.0000,0.00,0.00,1022.14,-0.58,-0.27,0.53,0.46,24.5,4.17,1.89,1.26,0.36,0.42,0.50,-2.88, 3
63525.00,0.0000,0.0000,0.00,0.00,1022.14,-0.58,-0.29,0.51,0.44,24.5,4.17,1.85,1.21,0.26,0.49,0.52,-2.58, 3
63536.00,0.0000,0.0000,0.00,0.00,1022.14,-0.58,-0.31,0.49,0.41,24.5,4.17,1.75,1.07,0.14,0.54,0.62,-2.33, 3
63546.00,0.0000,0.0000,0.00,0.00,1022.12,-0.41,-0.32,0.48,0.41,24.5,4.17,1.60,0.88,0.02,0.55,0.78,-2.15, 3
63557.00,0.0000,0.0000,0.00,0.00,1022.12,-0.41,-0.32,0.48,0.40,24.5,4.17,1.51,0.79,0.00,0.55,0.89,-2.10, 3
63567.00,0.0000,0.0000,0.00,0.00,1022.12,-0.41,-0.32,0.47,0.39,24.5,4.17,1.38,0.71,0.00,0.64,0.97,-2.07, 3
63576.00,0.0000,0.0000,0.00,0.00,1022.12,-0.41,-0.33,0.47,0.38,24.5,4.17,1.30,0.69,0.02,0.80,0.99,-2.05, 3
63590.00,0.0000,0.0000,0.00,0.00,1022.12,-0.41,-0.33,0.47,0.38,24.5,4.17,1.24,0.68,0.12,1.20,0.93,-1.98, 3
63602.00,0.0000,0.0000,0.00,0.00,1022.17,-0.83,-0.37,0.43,0.34,24.5,4.16,1.24,0.64,0.14,1.44,0.83,-1.93, 3
63612.00,0.0000,0.0000,0.00,0.00,1022.17,-0.83,-0.40,0.39,0.30,24.5,4.16,1.26,0.68,0.14,1.51,0.74,-1.84, 3
63622.00,0.0000,0.0000,0.00,0.00,1022.17,-0.83,-0.43,0.36,0.27,24.5,4.16,1.29,0.74,0.23,1.51,0.62,-1.67, 3
63634.00,0.0000,0.0000,0.00,0.00,1022.17,-0.83,-0.46,0.33,0.24,24.5,4.16,1.29,0.72,0.25,1.50,0.46,-1.47, 3
