Time [ms],Lat,Lng,GPS Alt [m],Sats,Pressure [hPa],Raw Baro Alt [m],Filter Baro Alt [m],Baro Vert Vel [m/s],Baro Vert Acc [m/s^2],Baro Temp [°C],Bat 1 Voltage [V],IMU Acc X [m/s^2],IMU Acc Y [m/s^2],IMU Acc Z [m/s^2],IMU Gyr X [deg/s],IMU Gyr Y [deg/s],IMU Gyr Z [deg/s],State
21656.00,0.0000,0.0000,0.00,0.00,1022.22,0.41,-0.33,0.46,0.46,22.1,4.23,5.03,-7.86,-0.21,-0.33,1.54,6.10, 3
21691.00,0.0000,0.0000,0.00,0.00,1022.22,0.41,-0.23,0.55,0.52,22.1,4.23,5.13,-5.02,0.88,-3.24,-0.70,-0.92, 3
21702.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.24,0.55,0.51,22.1,4.23,4.52,-3.31,0.90,-3.28,-0.91,-1.93, 3
21712.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.24,0.54,0.51,22.1,4.23,4.03,-2.62,0.98,-2.94,-0.96,-2.67, 3
21721.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.25,0.54,0.50,22.1,4.23,3.53,-2.03,1.03,-2.62,-0.94,-3.25, 3
21732.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.25,0.53,0.49,22.1,4.23,2.73,-1.50,1.06,-2.18,-0.86,-3.93, 3
21743.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.24,0.55,0.50,22.1,4.21,1.84,-1.18,1.05,-1.69,-0.68,-4.58, 3
21753.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.22,0.56,0.50,22.1,4.21,1.29,-0.99,1.03,-1.33,-0.44,-5.10, 3
21764.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.21,0.57,0.51,22.1,4.21,0.56,-0.81,0.89,-0.88,-0.18,-5.59, 3
21776.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.20,0.58,0.51,22.1,4.21,-0.16,-0.70,0.66,-0.14,0.15,-6.17, 3
21786.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.21,0.57,0.50,22.1,4.21,-0.87,-0.59,0.50,0.55,0.30,-6.64, 3
21796.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.21,0.57,0.49,22.1,4.21,-1.51,-0.42,0.40,1.22,0.26,-6.94, 3
21806.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.22,0.56,0.48,22.1,4.21,-2.19,-0.35,0.15,1.82,0.16,-7.19, 3
21817.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.22,0.56,0.47,22.1,4.21,-2.57,-0.26,-0.17,2.54,0.10,-7.38, 3
21828.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.21,0.56,0.47,22.1,4.21,-2.94,0.08,-1.05,2.69,0.40,-7.24, 3
21838.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.20,0.57,0.48,22.1,4.21,-2.95,0.72,-2.33,2.18,1.77,-6.48, 3
21848.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.20,0.58,0.48,22.1,4.21,-2.90,1.01,-2.35,1.70,3.10,-5.43, 3
21859.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.19,0.59,0.48,22.1,4.21,-3.25,0.11,-1.35,0.98,3.84,-4.80, 3
21870.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-0.20,0.57,0.46,22.1,4.21,-3.23,-0.51,-0.58,0.80,3.77,-4.75, 3
21880.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-0.21,0.56,0.45,22.1,4.21,-3.11,-0.83,0.07,0.70,3.25,-4.92, 3
21889.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-0.23,0.55,0.43,22.1,4.21,-3.01,-0.49,0.30,0.36,2.46,-4.88, 3
21899.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-0.24,0.53,0.42,22.1,4.21,-2.96,-0.09,0.35,0.08,1.58,-4.55, 3
21910.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-0.25,0.52,0.41,22.1,4.21,-2.93,0.16,0.23,-0.04,0.75,-3.87, 3
21922.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.27,0.50,0.38,22.1,4.21,-2.79,0.45,0.14,-0.19,0.07,-2.97, 3
21932.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.29,0.48,0.36,22.1,4.21,-2.64,0.48,-0.00,-0.38,-0.42,-2.00, 3
21943.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.31,0.46,0.34,22.1,4.21,-2.51,0.35,-0.05,-0.51,-0.71,-1.29, 3
21954.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.33,0.44,0.31,22.1,4.21,-2.27,0.13,-0.13,-0.62,-0.88,-0.78, 3
21965.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.34,0.42,0.30,22.1,4.21,-2.07,-0.02,-0.19,-0.75,-0.91,-0.58, 3
21975.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.36,0.40,0.28,22.1,4.21,-1.85,-0.13,-0.26,-0.93,-0.87,-0.54, 3
21985.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.38,0.39,0.26,22.1,4.21,-1.78,-0.13,-0.27,-1.13,-0.76,-0.55, 3
21996.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.39,0.37,0.25,22.1,4.21,-1.65,-0.12,-0.18,-1.21,-0.62,-0.56, 3
22006.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.40,0.36,0.23,22.1,4.21,-1.56,-0.09,-0.13,-1.07,-0.52,-0.58, 3
22017.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.41,0.34,0.22,22.1,4.21,-1.40,-0.06,-0.09,-0.87,-0.43,-0.57, 3
22028.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.42,0.33,0.21,22.1,4.21,-1.26,-0.07,-0.15,-0.69,-0.32,-0.55, 3
22039.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.43,0.32,0.19,22.1,4.21,-1.19,-0.10,-0.23,-0.61,-0.14,-0.53, 3
22050.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.44,0.31,0.18,22.1,4.21,-1.08,-0.18,-0.34,-0.56,0.08,-0.53, 3
22060.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.45,0.30,0.17,22.1,4.23,-1.01,-0.24,-0.42,-0.54,0.32,-0.56, 3
22070.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.46,0.29,0.16,22.1,4.23,-0.94,-0.28,-0.44,-0.61,0.59,-0.63, 3
22081.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.47,0.28,0.15,22.1,4.23,-0.92,-0.32,-0.42,-0.77,0.79,-0.70, 3
22091.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.47,0.28,0.14,22.1,4.23,-0.89,-0.31,-0.31,-0.94,0.89,-0.78, 3
22100.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.48,0.27,0.14,22.1,4.23,-0.90,-0.28,-0.33,-0.98,0.96,-0.79, 3
22110.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.48,0.26,0.13,22.1,4.23,-0.89,-0.29,-0.26,-1.06,0.97,-0.82, 3
22119.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.49,0.25,0.12,22.1,4.23,-0.85,-0.28,-0.20,-1.31,0.86,-0.88, 3
22130.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.49,0.25,0.12,22.1,4.23,-0.80,-0.28,-0.22,-1.27,0.81,-0.91, 3
22140.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.48,0.26,0.13,22.1,4.23,-0.78,-0.32,-0.25,-1.10,0.78,-0.94, 3
22149.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.46,0.28,0.14,22.1,4.23,-0.78,-0.34,-0.27,-1.18,0.69,-1.02, 3
22158.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.45,0.29,0.15,22.1,4.25,-0.81,-0.32,-0.26,-1.37,0.58,-1.14, 3
22168.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.44,0.30,0.16,22.1,4.25,-0.84,-0.34,-0.22,-1.44,0.48,-1.25, 3
22179.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.43,0.31,0.16,22.1,4.25,-0.88,-0.27,-0.18,-1.34,0.39,-1.32, 3
22190.00,0.0000,0.0000,0.00,0.00,1022.35,-0.66,-0.44,0.29,0.15,22.1,4.25,-0.92,-0.17,-0.18,-1.28,0.26,-1.31, 3
22200.00,0.0000,0.0000,0.00,0.00,1022.35,-0.66,-0.46,0.27,0.13,22.1,4.25,-0.92,-0.08,-0.19,-1.18,0.13,-1.27, 3
22210.00,0.0000,0.0000,0.00,0.00,1022.35,-0.66,-0.47,0.26,0.12,22.1,4.25,-0.90,-0.02,-0.27,-0.99,0.05,-1.18, 3
22221.00,0.0000,0.0000,0.00,0.00,1022.35,-0.66,-0.49,0.24,0.10,22.1,4.25,-0.85,0.04,-0.43,-0.80,0.07,-1.07, 3
22231.00,0.0000,0.0000,0.00,0.00,1022.28,-0.08,-0.45,0.28,0.13,22.1,4.25,-0.82,0.07,-0.51,-0.71,0.10,-0.92, 3
22241.00,0.0000,0.0000,0.00,0.00,1022.28,-0.08,-0.42,0.31,0.16,22.1,4.25,-0.77,0.07,-0.61,-0.71,0.15,-0.75, 3
22392.00,0.0000,0.0000,0.00,0.00,1022.28,-0.08,-0.32,0.38,0.20,22.1,4.25,-0.68,0.08,-0.23,-2.53,0.90,-2.17, 3
22404.00,0.0000,0.0000,0.00,0.00,1022.28,-0.08,-0.28,0.42,0.23,22.1,4.27,-0.70,0.14,-0.21,-2.38,0.86,-1.78, 3
22416.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.32,0.38,0.19,22.0,4.27,-0.77,0.15,-0.29,-2.22,0.88,-1.26, 3
22426.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.35,0.35,0.16,22.0,4.27,-0.86,0.13,-0.30,-2.02,0.92,-0.67, 3
22435.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.37,0.32,0.14,22.0,4.27,-0.97,0.05,-0.40,-1.85,0.98,-0.25, 3
22444.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.40,0.30,0.12,22.0,4.27,-1.03,-0.05,-0.51,-1.69,1.08,0.07, 3
22455.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.41,0.28,0.10,22.0,4.27,-1.04,-0.32,-0.66,-1.55,1.20,0.33, 3
22466.00,0.0000,0.0000,0.00,0.00,1022.36,-0.74,-0.45,0.24,0.07,22.0,4.27,-1.07,-0.76,-0.80,-1.22,1.40,0.46, 3
22476.00,0.0000,0.0000,0.00,0.00,1022.36,-0.74,-0.47,0.21,0.04,22.0,4.27,-1.09,-1.03,-0.74,-0.98,1.55,0.27, 3
22486.00,0.0000,0.0000,0.00,0.00,1022.36,-0.74,-0.50,0.19,0.02,22.0,4.27,-1.15,-1.27,-0.77,-1.03,1.66,-0.17, 3
22498.00,0.0000,0.0000,0.00,0.00,1022.36,-0.74,-0.52,0.16,0.00,22.0,4.27,-1.21,-1.23,-0.64,-1.07,1.77,-0.70, 3
22509.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.50,0.18,0.02,22.0,4.23,-1.28,-1.13,-0.55,-1.00,1.77,-1.01, 3
22519.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.48,0.20,0.03,22.0,4.23,-1.37,-0.87,-0.60,-0.99,1.81,-1.13, 3
22530.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.47,0.21,0.04,22.0,4.23,-1.38,-0.59,-0.62,-1.08,1.80,-1.03, 3
22541.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.45,0.22,0.05,22.0,4.23,-1.37,-0.51,-0.70,-1.24,1.78,-0.79, 3
22551.00,0.0000,0.0000,0.00,0.00,1022.35,-0.66,-0.47,0.21,0.04,22.0,4.23,-1.28,-0.51,-0.71,-1.45,1.74,-0.62, 3
22561.00,0.0000,0.0000,0.00,0.00,1022.35,-0.66,-0.48,0.19,0.02,22.0,4.23,-1.23,-0.58,-0.71,-1.56,1.71,-0.51, 3
22571.00,0.0000,0.0000,0.00,0.00,1022.35,-0.66,-0.50,0.17,0.01,22.0,4.23,-1.23,-0.65,-0.73,-1.53,1.71,-0.41, 3
22582.00,0.0000,0.0000,0.00,0.00,1022.35,-0.66,-0.51,0.16,-0.00,22.0,4.23,-1.23,-0.63,-0.61,-1.52,1.63,-0.33, 3
22593.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-0.50,0.17,0.00,22.1,4.23,-1.25,-0.63,-0.64,-1.65,1.51,-0.26, 3
22603.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-0.49,0.18,0.01,22.1,4.23,-1.23,-0.65,-0.63,-1.74,1.38,-0.21, 3
22613.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-0.48,0.18,0.02,22.1,4.22,-1.18,-0.65,-0.60,-1.82,1.21,-0.14, 3
22627.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-0.47,0.19,0.02,22.1,4.22,-1.02,-0.65,-0.61,-1.92,1.05,-0.14, 3
22638.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-0.47,0.19,0.03,22.1,4.22,-0.93,-0.66,-0.60,-1.95,0.94,-0.20, 3
22649.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-0.46,0.20,0.03,22.1,4.22,-0.87,-0.64,-0.58,-1.85,0.89,-0.28, 3
22660.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-0.45,0.20,0.03,22.1,4.22,-0.80,-0.56,-0.52,-1.64,0.79,-0.35, 3
22670.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-0.45,0.21,0.04,22.1,4.22,-0.80,-0.48,-0.54,-1.39,0.72,-0.33, 3
22681.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.42,0.23,0.06,22.1,4.22,-0.81,-0.44,-0.57,-1.11,0.63,-0.28, 3
22691.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.40,0.25,0.08,22.1,4.22,-0.81,-0.42,-0.69,-0.98,0.56,-0.23, 3
22701.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.38,0.27,0.09,22.1,4.22,-0.77,-0.43,-0.74,-0.92,0.48,-0.21, 3
22712.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.36,0.29,0.11,22.1,4.22,-0.61,-0.40,-0.79,-0.91,0.36,-0.22, 3
22723.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.35,0.30,0.11,22.1,4.22,-0.54,-0.32,-0.75,-0.95,0.24,-0.22, 3
22733.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.35,0.30,0.11,22.1,4.22,-0.52,-0.28,-0.70,-1.06,0.07,-0.19, 3
22743.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.34,0.30,0.11,22.1,4.22,-0.55,-0.21,-0.64,-1.15,-0.11,-0.08, 3
22755.00,0.0000,0.0000,0.00,0.00,1022.31,-0.33,-0.34,0.30,0.11,22.1,4.22,-0.58,-0.17,-0.57,-1.15,-0.35,0.09, 3
22765.00,0.0000,0.0000,0.00,0.00,1022.33,-0.50,-0.35,0.29,0.10,22.1,4.22,-0.61,-0.12,-0.53,-1.02,-0.54,0.23, 3
22776.00,0.0000,0.0000,0.00,0.00,1022.33,-0.50,-0.36,0.28,0.09,22.1,4.22,-0.58,-0.12,-0.55,-0.90,-0.65,0.30, 3
22786.00,0.0000,0.0000,0.00,0.00,1022.33,-0.50,-0.37,0.27,0.08,22.1,4.22,-0.51,-0.16,-0.58,-0.74,-0.77,0.31, 3
22797.00,0.0000,0.0000,0.00,0.00,1022.33,-0.50,-0.37,0.26,0.07,22.1,4.22,-0.47,-0.17,-0.59,-0.57,-0.86,0.28, 3
22808.00,0.0000,0.0000,0.00,0.00,1022.37,-0.83,-0.41,0.22,0.04,22.1,4.22,-0.48,-0.14,-0.52,-0.50,-1.05,0.28, 3
22818.00,0.0000,0.0000,0.00,0.00,1022.37,-0.83,-0.44,0.18,0.00,22.1,4.22,-0.53,-0.15,-0.53,-0.56,-1.28,0.31, 3
22828.00,0.0000,0.0000,0.00,0.00,1022.37,-0.83,-0.47,0.15,-0.03,22.1,4.23,-0.57,-0.19,-0.53,-0.63,-1.58,0.34, 3
22838.00,0.0000,0.0000,0.00,0.00,1022.37,-0.83,-0.50,0.12,-0.05,22.1,4.23,-0.58,-0.22,-0.57,-0.75,-1.84,0.34, 3
22849.00,0.0000,0.0000,0.00,0.00,1022.36,-0.74,-0.52,0.10,-0.07,22.1,4.23,-0.58,-0.25,-0.60,-0.87,-2.08,0.33, 3
22859.00,0.0000,0.0000,0.00,0.00,1022.36,-0.74,-0.54,0.08,-0.09,22.1,4.23,-0.60,-0.21,-0.56,-0.90,-2.29,0.38, 3
22869.00,0.0000,0.0000,0.00,0.00,1022.36,-0.74,-0.56,0.06,-0.10,22.1,4.23,-0.62,-0.18,-0.57,-0.96,-2.44,0.44, 3
23063.00,0.0000,0.0000,0.00,0.00,1022.36,-0.74,-0.58,0.00,-0.14,22.1,4.23,-0.71,-0.04,-0.66,-0.07,0.48,-0.04, 3
23073.00,0.0000,0.0000,0.00,0.00,1022.67,-3.30,-1.06,-0.47,-0.54,22.1,4.23,-0.74,-0.06,-0.64,-0.00,0.49,0.03, 3
23083.00,0.0000,0.0000,0.00,0.00,1022.67,-3.30,-1.41,-0.83,-0.83,22.1,4.23,-0.71,-0.05,-0.66,-0.01,0.42,0.03, 3
23093.00,0.0000,0.0000,0.00,0.00,1022.67,-3.30,-1.69,-1.10,-1.06,22.1,4.23,-0.74,-0.02,-0.65,-0.01,0.42,0.02, 3
23104.00,0.0000,0.0000,0.00,0.00,1022.67,-3.30,-1.91,-1.32,-1.24,22.1,4.23,-0.73,-0.04,-0.64,0.02,0.49,-0.02, 3
23115.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-1.74,-1.15,-1.08,22.0,4.22,-0.72,-0.03,-0.65,-0.00,0.53,-0.04, 3
23125.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-1.59,-1.00,-0.95,22.0,4.22,-0.72,-0.06,-0.66,0.01,0.53,0.01, 3
23135.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-1.47,-0.88,-0.83,22.0,4.22,-0.73,-0.05,-0.66,-0.01,0.59,0.07, 3
23146.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-1.36,-0.77,-0.74,22.0,4.22,-0.72,-0.05,-0.67,0.04,0.59,0.11, 3
23157.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-1.27,-0.68,-0.65,22.0,4.22,-0.71,-0.04,-0.70,0.10,0.48,0.15, 3
23166.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-1.19,-0.60,-0.58,22.0,4.22,-0.70,-0.04,-0.68,0.24,0.38,0.22, 3
23175.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-1.12,-0.53,-0.51,22.0,4.22,-0.56,-0.05,-0.80,0.59,0.38,0.38, 3
23187.00,0.0000,0.0000,0.00,0.00,1022.32,-0.41,-1.06,-0.47,-0.45,22.0,4.22,-0.79,-0.08,-0.87,1.32,0.43,0.73, 3
23198.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-1.02,-0.43,-0.41,22.0,4.22,-0.67,-0.09,-0.73,1.11,0.30,0.90, 3
23208.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.98,-0.39,-0.38,22.0,4.22,-0.72,-0.08,-0.65,0.71,0.24,0.98, 3
23218.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.95,-0.36,-0.35,22.0,4.22,-0.69,-0.08,-0.59,0.29,0.22,1.05, 3
23229.00,0.0000,0.0000,0.00,0.00,1022.34,-0.58,-0.92,-0.33,-0.32,22.0,4.22,-1.21,-0.05,-0.28,0.44,0.20,0.99, 3
23239.00,0.0000,0.0000,0.00,0.00,1022.33,-0.50,-0.88,-0.29,-0.28,22.1,4.22,-0.69,0.05,-0.57,0.94,0.15,0.99, 3
23249.00,0.0000,0.0000,0.00,0.00,1022.33,-0.50,-0.85,-0.26,-0.25,22.1,4.22,-0.62,0.00,-0.59,1.03,0.31,0.88, 3
23260.00,0.0000,0.0000,0.00,0.00,1022.33,-0.50,-0.82,-0.23,-0.23,22.1,4.22,-0.65,0.01,-0.64,0.84,0.50,0.75, 3
23272.00,0.0000,0.0000,0.00,0.00,1022.33,-0.50,-0.80,-0.20,-0.20,22.1,4.22,-0.66,-0.02,-0.80,0.41,0.53,0.55, 3
23284.00,0.0000,0.0000,0.00,0.00,1022.30,-0.25,-0.75,-0.16,-0.16,22.1,4.22,-0.65,-0.01,-0.70,0.50,0.48,0.48, 3
23294.00,0.0000,0.0000,0.00,0.00,1022.30,-0.25,-0.71,-0.12,-0.12,22.1,4.22,-0.63,-0.02,-0.81,0.40,0.39,0.40, 3
23304.00,0.0000,0.0000,0.00,0.00,1022.30,-0.25,-0.67,-0.08,-0.08,22.1,4.22,-0.68,-0.02,-0.71,0.37,0.22,0.42, 3
23314.00,0.0000,0.0000,0.00,0.00,1022.30,-0.25,-0.63,-0.04,-0.05,22.1,4.22,-0.68,-0.03,-0.71,0.45,0.15,0.46, 3
23324.00,0.0000,0.0000,0.00,0.00,1022.27,0.00,-0.58,0.01,-0.00,22.1,4.21,-0.64,-0.06,-0.74,0.47,0.21,0.51, 3
23334.00,0.0000,0.0000,0.00,0.00,1022.27,0.00,-0.53,0.06,0.04,22.1,4.21,-0.66,-0.04,-0.70,0.43,0.29,0.52, 3
23344.00,0.0000,0.0000,0.00,0.00,1022.27,0.00,-0.48,0.11,0.08,22.1,4.21,-0.74,-0.00,-0.64,0.45,0.36,0.55, 3
23355.00,0.0000,0.0000,0.00,0.00,1022.27,0.00,-0.44,0.15,0.12,22.1,4.21,-0.64,-0.02,-0.72,0.41,0.51,0.49, 3
23366.00,0.0000,0.0000,0.00,0.00,1022.35,-0.66,-0.46,0.13,0.10,22.1,4.21,-0.64,-0.01,-0.72,0.33,0.63,0.41, 3
23376.00,0.0000,0.0000,0.00,0.00,1022.35,-0.66,-0.48,0.12,0.08,22.1,4.21,-0.63,-0.01,-0.74,0.26,0.69,0.33, 3
23386.00,0.0000,0.0000,0.00,0.00,1022.35,-0.66,-0.49,0.10,0.07,22.1,4.21,-0.62,-0.01,-0.71,0.19,0.83,0.23, 3
23397.00,0.0000,0.0000,0.00,0.00,1022.35,-0.66,-0.50,0.09,0.06,22.1,4.21,-0.60,-0.01,-0.78,0.09,1.01,0.09, 3
23409.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.47,0.12,0.08,22.1,4.21,-0.62,-0.01,-0.77,0.10,1.06,0.03, 3
23420.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.45,0.14,0.11,22.1,4.21,-0.59,-0.02,-0.76,0.34,1.12,0.09, 3
23430.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.42,0.17,0.13,22.1,4.22,-0.05,0.02,-0.91,0.84,0.54,0.42, 3
23440.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.40,0.19,0.15,22.1,4.22,-0.89,-0.18,-0.44,-0.01,0.39,0.37, 3
23451.00,0.0000,0.0000,0.00,0.00,1022.29,-0.17,-0.38,0.21,0.17,22.1,4.22,-0.64,-0.03,-0.65,0.01,0.63,0.57, 3
23462.00,0.0000,0.0000,0.00,0.00,1022.41,-1.16,-0.44,0.15,0.11,22.1,4.22,-0.64,-0.02,-0.64,0.40,0.62,0.63, 3
23473.00,0.0000,0.0000,0.00,0.00,1022.41,-1.16,-0.50,0.09,0.05,22.1,4.22,-0.55,-0.01,-0.75,0.48,0.70,0.61, 3
23483.00,0.0000,0.0000,0.00,0.00,1022.41,-1.16,-0.55,0.03,-0.00,22.1,4.22,-0.65,-0.05,-0.79,0.39,0.53,0.58, 3
23494.00,0.0000,0.0000,0.00,0.00,1022.41,-1.16,-0.60,-0.02,-0.05,22.1,4.22,-0.56,-0.05,-0.77,0.14,0.26,0.44, 3
23504.00,0.0000,0.0000,0.00,0.00,1022.36,-0.74,-0.62,-0.03,-0.06,22.1,4.22,-0.56,0.00,-0.72,0.10,0.18,0.26, 3
23515.00,0.0000,0.0000,0.00,0.00,1022.36,-0.74,-0.63,-0.04,-0.07,22.1,4.22,-0.56,0.02,-0.75,0.07,0.21,0.09, 3
23526.00,0.0000,0.0000,0.00,0.00,1022.36,-0.74,-0.64,-0.05,-0.08,22.1,4.22,-0.55,0.01,-0.82,0.07,0.20,-0.03, 3
23537.00,0.0000,0.0000,0.00,0.00,1022.36,-0.74,-0.65,-0.06,-0.08,22.1,4.21,-0.59,-0.02,-0.82,-0.01,0.12,-0.07, 3
