Time [ms],Lat,Lng,GPS Alt [m],Sats,Pressure [hPa],Raw Baro Alt [m],Filter Baro Alt [m],Baro Vert Vel [m/s],Baro Vert Acc [m/s^2],Baro Temp [°C],Bat 1 Voltage [V],IMU Acc X [m/s^2],IMU Acc Y [m/s^2],IMU Acc Z [m/s^2],IMU Gyr X [deg/s],IMU Gyr Y [deg/s],IMU Gyr Z [deg/s],State
35943.00,0.0000,0.0000,0.00,0.00,1013.90,-0.58,-0.68,0.14,0.08,25.4,4.25,-2.80,-1.79,-0.12,-0.18,0.44,3.76, 3
36135.00,0.0000,0.0000,0.00,0.00,1013.90,-0.58,-0.64,0.17,0.10,25.4,4.25,-0.97,0.01,-0.02,0.14,0.05,1.24, 3
36146.00,0.0000,0.0000,0.00,0.00,1014.13,-2.50,-1.04,-0.23,-0.23,25.4,4.25,-0.95,-0.01,-0.03,0.14,0.18,1.17, 3
36157.00,0.0000,0.0000,0.00,0.00,1014.13,-2.50,-1.32,-0.50,-0.44,25.4,4.25,-0.95,-0.06,-0.00,0.15,0.24,1.05, 3
36167.00,0.0000,0.0000,0.00,0.00,1014.13,-2.50,-1.52,-0.70,-0.60,25.4,4.25,-0.97,-0.07,0.03,0.17,0.25,0.91, 3
36178.00,0.0000,0.0000,0.00,0.00,1014.13,-2.50,-1.68,-0.84,-0.71,25.4,4.25,-0.97,-0.08,0.13,0.22,0.20,0.69, 3
36189.00,0.0000,0.0000,0.00,0.00,1013.88,-0.42,-1.51,-0.68,-0.57,25.3,4.25,-0.96,-0.06,0.19,0.20,0.09,0.50, 3
36199.00,0.0000,0.0000,0.00,0.00,1013.88,-0.42,-1.37,-0.55,-0.46,25.3,4.25,-0.95,-0.02,0.24,0.15,-0.05,0.36, 3
36209.00,0.0000,0.0000,0.00,0.00,1013.88,-0.42,-1.26,-0.44,-0.37,25.3,4.25,-0.93,-0.01,0.25,0.09,-0.17,0.24, 3
36220.00,0.0000,0.0000,0.00,0.00,1013.88,-0.42,-1.17,-0.35,-0.29,25.3,4.25,-0.90,0.00,0.19,-0.01,-0.25,0.12, 3
36231.00,0.0000,0.0000,0.00,0.00,1013.88,-0.42,-1.09,-0.27,-0.22,25.3,4.25,-0.90,0.02,0.09,-0.08,-0.22,0.03, 3
36241.00,0.0000,0.0000,0.00,0.00,1013.88,-0.42,-1.02,-0.20,-0.17,25.3,4.25,-0.91,0.04,0.02,-0.07,-0.16,0.00, 3
36251.00,0.0000,0.0000,0.00,0.00,1013.88,-0.42,-0.96,-0.14,-0.12,25.3,4.25,-0.94,0.08,-0.03,-0.02,-0.08,0.02, 3
