,timestamp_s,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,battery_voltage,pyro_cont,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_x,q_y,q_z,q_w,state,baro_pres_avg,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_temp_avg,baro_height
147225,15566525,0,-64,-1383,-53,1,-107,45,120,2637,-825,-42,-1372,5,91,0,-44,218,2520,-360,336,96,144,31.16,1.0097014557118185,35.92,1.020646434739699,3904.611572265625,-7552.6083984375,32.5,8.14458179473877,0,0.0,0.0,0.0,0.0,21.30309928118814,0.0,0.0,-1.47157534793749,0.0,0.0,0.0,0.0,13,1.0151739452257589,39.07685953776042,-75.876806640625,-0.4594219392,-9.9278209674,-0.3804587934,-0.3014956476,-9.848857821600001,0.035892339,0.0012217265875,-0.13072474486250002,0.0549776964375,0.1111771194625,0.0,-0.05375596985,0.0696,1.52946,-0.4785,0.12644,1.4616,-0.2088,-0.3804587934,-9.8883393945,-0.1722832272,0.056199423025,-0.06536237243125001,0.0006108632937499997,0.09802,1.49553,-0.34365,9.88512,2.82432,4.23648,33.54,-198.42839344068165
147226,15566631,0,-58,-1389,-54,-3,-84,40,140,2647,-759,-42,-1373,3,81,0,-41,259,2564,-381,352,112,112,31.16,1.0097705403404886,35.94,1.0204786577843572,3904.611572265625,-7552.6083984375,32.5,8.145689964294434,0,0.0,0.0,0.0,0.0,21.45795883334857,0.0,0.0,-1.3826685111723718,0.0,0.0,0.0,0.0,13,1.015124599062423,39.07685953776042,-75.876806640625,-0.4163511324,-9.9708917742,-0.3876372612,-0.3014956476,-9.8560362894,0.0215354034,-0.0036651797625,-0.10262503335,0.048869063500000004,0.09895985358750001,0.0,-0.0500907900875,0.0812,1.53526,-0.44022,0.15022,1.48712,-0.22098,-0.35892339,-9.9134640318,-0.18305092890000002,0.047647336912500005,-0.051312516675,-0.0006108632937499997,0.11571,1.51119,-0.3306,10.35584,3.29504,3.29504,33.55,-197.99742663949604
147227,15566736,0,-62,-1387,-54,8,-100,36,140,2647,-759,-46,-1374,3,87,0,-42,259,2564,-381,352,32,272,31.16,1.010106094251172,35.93,1.0206859116703677,3904.611572265625,-7552.6083984375,32.5,8.145135879516602,0,0.0,0.0,0.0,0.0,21.125754688407845,0.0,0.0,-1.569100065148776,0.0,0.0,0.0,0.0,13,1.0153960029607698,39.07685953776042,-75.876806640625,-0.4450650036,-9.9565348386,-0.3876372612,-0.3302095188,-9.8632147572,0.0215354034,0.0097738127,-0.12217265875000001,0.04398215715,0.1062902131125,0.0,-0.051312516675,0.0812,1.53526,-0.44022,0.15022,1.48712,-0.22098,-0.38763726119999997,-9.909874797899999,-0.18305092890000002,0.05803201290625,-0.061086329375000005,-0.0036651797625000017,0.11571,1.51119,-0.3306,10.35584,0.94144,8.00224,33.545,-200.3674355303973
147228,15566841,0,-61,-1384,-56,18,-85,42,146,2659,-791,-48,-1369,5,88,0,-40,256,2548,-385,352,128,208,31.16,1.0099975326918331,35.93,1.020597088576363,3904.611572265625,-7552.6083984375,32.5,8.145135879516602,0,0.0,0.0,0.0,0.0,20.974704364107566,0.0,0.0,-1.642639522297602,0.0,0.0,0.0,0.0,13,1.0152973106340981,39.07685953776042,-75.876806640625,-0.43788653580000003,-9.9349994352,-0.40199419680000004,-0.3445664544,-9.8273224182,0.035892339,0.021991078575,-0.1038467599375,0.051312516675,0.1075119397,0.0,-0.048869063500000004,0.08468,1.54222,-0.45878,0.14848,1.47784,-0.2233,-0.3912264951,-9.8811609267,-0.18305092890000002,0.0647515091375,-0.05192337996875,0.0012217265874999994,0.11658,1.51003,-0.34104,10.35584,3.76576,6.11936,33.545,-199.50570136472004
147229,15566947,0,-63,-1379,-52,10,-101,48,146,2659,-791,-47,-1368,4,79,0,-35,265,2540,-362,336,64,288,31.16,1.009859363434493,35.93,1.0206168270416975,3904.611572265625,-7552.6083984375,32.5,8.157876014709473,0,0.0,0.0,0.0,0.0,21.13881903184587,0.0,0.0,-1.5385797496079183,0.0,0.0,0.0,0.0,13,1.0152380952380953,39.07685953776042,-75.876806640625,-0.45224347140000004,-9.8991070962,-0.3732803256,-0.3373879866,-9.8201439504,0.0287138712,0.012217265875000001,-0.12339438533750001,0.0586428762,0.09651640041250001,0.0,-0.0427604305625,0.08468,1.54222,-0.45878,0.1537,1.4732,-0.20996,-0.39481572900000006,-9.8596255233,-0.1722832272,0.05436683314375,-0.061697192668750005,0.00794122281875,0.11919,1.5077099999999999,-0.33437,9.88512,1.88288,8.47296,33.545,-198.98861300680574
147230,15567052,0,-66,-1385,-51,8,-98,54,151,2645,-761,-41,-1374,5,91,0,-37,265,2540,-362,320,96,288,31.16,1.0099975326918331,35.92,1.0207549962990377,3904.611572265625,-7552.6083984375,32.5,8.162306785583496,0,0.0,0.0,0.0,0.0,20.974349022344494,0.0,0.0,-1.6228772634232582,0.0,0.0,0.0,0.0,13,1.0153762644954354,39.07685953776042,-75.876806640625,-0.4737788748,-9.942177903000001,-0.36610185780000004,-0.2943171798,-9.8632147572,0.035892339,0.0097738127,-0.11972920557500001,0.06597323572500001,0.1111771194625,0.0,-0.0452038837375,0.08758,1.5341,-0.44138,0.1537,1.4732,-0.20996,-0.3840480273,-9.9026963301,-0.16510475940000002,0.06047546608125,-0.059864602787500006,0.010384675993750005,0.12064,1.50365,-0.32567,9.4144,2.82432,8.47296,33.54,-200.19509667288858
147231,15567158,0,-64,-1383,-54,6,-89,41,151,2645,-761,-42,-1371,6,88,0,-44,233,2514,-359,416,-16,352,31.17,1.0097804095731555,35.93,1.020597088576363,3904.611572265625,-7552.6083984375,32.5,8.14901351928711,0,0.0,0.0,0.0,0.0,21.154542038016096,0.0,0.0,-1.509683356916196,0.0,0.0,0.0,0.0,13,1.0151887490747593,39.07685953776042,-75.876806640625,-0.4594219392,-9.9278209674,-0.3876372612,-0.3014956476,-9.8416793538,0.0430708068,0.007330359525,-0.1087336662875,0.0500907900875,0.1075119397,0.0,-0.05375596985,0.08758,1.5341,-0.44138,0.13514,1.45812,-0.20822,-0.3804587934,-9.8847501606,-0.1722832272,0.0574211496125,-0.05436683314375,-0.0018325898812499991,0.11136000000000001,1.49611,-0.3248,12.23872,-0.47072,10.35584,33.55,-198.56486069235018
147232,15567263,0,-71,-1386,-53,5,-89,42,153,2635,-769,-43,-1375,4,86,0,-47,233,2514,-359,272,112,288,31.16,1.0098100172711573,35.92,1.0206563039723662,3904.611572265625,-7552.6083984375,32.5,8.157876014709473,0,0.0,0.0,0.0,0.0,21.2760126105932,0.0,0.0,-1.437588714782374,0.0,0.0,0.0,0.0,13,1.0152331606217617,39.07685953776042,-75.876806640625,-0.5096712138,-9.9493563708,-0.3804587934,-0.3086741154,-9.870393225,0.0287138712,0.0061086329375000005,-0.1087336662875,0.051312516675,0.105068486525,0.0,-0.0574211496125,0.08874,1.5283,-0.44602,0.13514,1.45812,-0.20822,-0.4091726646,-9.9098747979,-0.1758724611,0.05558855973125,-0.05436683314375,-0.0030543164687499985,0.11194000000000001,1.49321,-0.32712,8.00224,3.29504,8.47296,33.54,-198.94552068991072
147233,15567368,0,-61,-1383,-49,7,-104,41,153,2635,-769,-39,-1372,4,98,0,-37,256,2531,-388,352,64,320,31.16,1.0098791018998272,35.93,1.0207253886010363,3904.611572265625,-7552.6083984375,32.5,8.154552459716797,0,0.0,0.0,0.0,0.0,20.98815129596456,0.0,0.0,-1.5948343972456485,0.0,0.0,0.0,0.0,13,1.0153022452504317,39.07685953776042,-75.876806640625,-0.43788653580000003,-9.9278209674,-0.35174492220000003,-0.2799602442,-9.848857821600001,0.0287138712,0.008552086112500001,-0.1270595651,0.0500907900875,0.11972920557500001,0.0,-0.0452038837375,0.08874,1.5283,-0.44602,0.14848,1.46798,-0.22504,-0.35892339,-9.8883393945,-0.1615155255,0.06414064584375001,-0.06352978255,0.0024434531750000023,0.11861,1.49814,-0.33553,10.35584,1.88288,9.4144,33.545,-199.5487904408922
147234,15567474,0,-68,-1385,-60,17,-93,55,164,2626,-763,-42,-1369,5,80,0,-45,256,2531,-388,384,-16,272,31.17,1.0100074019245004,35.93,1.020705650135702,3904.611572265625,-7552.6083984375,32.5,8.142366409301758,0,0.0,0.0,0.0,0.0,21.099984822307068,0.0,0.0,-1.5254130997474598,0.0,0.0,0.0,0.0,13,1.0153565260301012,39.07685953776042,-75.876806640625,-0.48813581040000004,-9.942177903000001,-0.430708068,-0.3014956476,-9.8273224182,0.035892339,0.0207693519875,-0.1136205726375,0.06719496231250001,0.09773812700000001,0.0,-0.0549776964375,0.09512,1.52308,-0.44254,0.14848,1.46798,-0.22504,-0.39481572900000006,-9.8847501606,-0.1974078645,0.059253739493750006,-0.05681028631875,0.006108632937500004,0.12179999999999999,1.49553,-0.33379,11.29728,-0.47072,8.00224,33.55,-200.02998404540614
