P,T
-60.16547664,134.379
-62.05360286,134.484
-61.15122872,134.59
-62.10208049,134.695
-61.02502809,134.8
-62.27119832,134.906
-63.26218332,135.011
-61.36882039,135.117
-59.65237018,135.222
-60.16547664,135.328
-61.19692626,135.434
-61.06800301,135.539
-62.18526236,135.645
-61.11914349,135.75
-62.27119832,135.855
-62.44306721,135.961
-62.09932539,136.066
-62.61493206,136.172
-60.93636132,136.277
-60.85583916,136.382
-63.38827392,136.488
-61.75556742,136.593
-61.62391477,136.699
-62.09657029,136.804
-61.49500342,136.909
-63.5143536,137.015
-61.83876197,137.12
-62.18250437,137.225
-62.70363826,137.331
-62.61493206,137.436
-62.23098989,137.542
-61.19692626,137.647
-62.44306721,137.752
-61.53797413,137.858
-61.84425488,137.963
-62.83253706,138.069
-61.06528252,138.174
-63.21642724,138.279
-62.57196622,138.385
-61.62665401,138.49
-61.54071048,138.596
-59.86192966,138.701
-56.21023863,138.806
-52.46312723,138.912
-49.45093536,139.017
-39.50189487,139.122
-36.91551402,139.227
-29.06456298,139.332
-23.14777299,139.438
-14.32865123,139.543
-14.32865123,139.543
-5.112974272,139.558
-11.94883716,139.573
-11.51732798,139.588
-1.258371967,139.603
2.685530508,139.618
-4.723275223,139.633
12.48820229,139.668
5.286597156,139.684
15.09257769,139.699
6.197188749,139.714
9.40684265,139.73
11.74991043,139.745
14.13733575,139.761
24.25865778,139.776
23.47626974,139.791
26.17151366,139.807
17.08969736,139.822
28.78075852,139.837
30.12889247,139.853
24.30227064,139.868
32.43568027,139.884
33.78394684,139.899
37.61619024,139.914
39.44548012,139.93
39.83686436,139.945
42.05806272,139.961
44.15065511,139.976
39.62038055,139.991
50.07980306,140.007
51.43426656,140.022
51.6077327,140.038
45.32928452,140.053
55.49190505,140.068
57.54392773,140.084
56.40869527,140.099
59.59652484,140.115
62.34877997,140.13
63.22127701,140.145
65.18797454,140.161
66.98031383,140.176
70.65379222,140.191
72.4054736,140.207
74.46040693,140.222
77.43899609,140.238
76.34445821,140.253
80.24175748,140.268
80.06453732,140.284
82.08165175,140.299
86.77108766,140.315
87.25109173,140.33
90.05515983,140.345
89.44351541,140.361
91.81447957,140.376
93.74256709,140.392
96.46367665,140.407
98.96888311,140.422
102.1285758,140.438
99.71277396,140.453
106.3471543,140.468
105.8607703,140.483
109.4247304,140.498
109.1578947,140.514
111.5828757,140.529
113.3395126,140.544
117.3884494,140.56
117.2123623,140.575
119.1969161,140.591
119.8981506,140.606
121.3515277,140.621
120.8636509,140.637
121.6598568,140.652
125.496569,140.668
126.9475129,140.683
129.460484,140.698
132.1066461,140.714
130.2138326,140.729
135.1029191,140.745
136.787784,140.76
137.7589332,140.775
140.7574258,140.791
141.5924821,140.806
143.0984184,140.821
143.4960195,140.837
146.721802,140.852
148.5783737,140.868
149.4626204,140.883
152.6910244,140.899
152.9564358,140.915
152.9121999,140.93
155.5225734,140.946
158.6557911,140.961
159.2849122,140.976
158.8817937,140.992
162.9162889,141.007
164.8164037,141.023
168.8443614,141.038
168.371701,141.053
169.9133633,141.069
170.7064091,141.084
172.8453026,141.1
173.6829543,141.115
176.4833872,141.13
180.2120733,141.146
180.7893008,141.161
181.3275817,141.176
180.4730935,141.192
183.4485289,141.207
185.4032015,141.223
188.8307965,141.238
189.09184,141.253
190.3867971,141.269
190.1200308,141.284
192.9157557,141.3
196.1246155,141.315
197.7711729,141.33
198.3942908,141.346
199.5071325,141.361
200.4865726,141.377
204.4563759,141.392
205.7867148,141.407
209.5685067,141.423
206.9835231,141.438
206.143164,141.453
212.8362577,141.468
212.6067997,141.483
216.0861404,141.499
215.0534623,141.514
219.1274389,141.529
219.5291863,141.545
220.7724682,141.56
221.4936007,141.576
224.1216734,141.591
226.0048091,141.606
228.9989193,141.622
230.3776044,141.637
229.1777107,141.653
233.2463885,141.668
233.7311848,141.683
236.6388576,141.699
233.9548111,141.714
235.6690714,141.73
240.092206,141.745
240.0026771,141.76
240.9801371,141.776
246.4963453,141.791
235.228916,141.806
237.9584442,141.822
244.8835897,141.837
239.1221573,141.853
248.7368699,141.868
251.7031837,141.883
254.0350679,141.899
254.4230003,141.914
250.5375185,141.93
257.8404089,141.945
252.4732519,141.96
261.6106849,141.976
263.0107406,141.991
257.0935272,142.007
265.9751147,142.022
259.4271949,142.037
262.5167943,142.053
272.9780714,142.068
263.0107406,142.084
264.635735,142.099
268.2299787,142.114
268.1401012,142.13
271.3763811,142.145
280.3110255,142.16
271.6376891,142.176
282.6969335,142.191
275.0724376,142.207
277.0969158,142.222
280.5535685,142.237
280.5535685,142.253
280.7873959,142.268
282.2192837,142.284
283.7502729,142.299
284.1105519,142.314
288.615526,142.33
285.4167109,142.345
288.2099655,142.361
288.1288431,142.376
290.823969,142.391
292.356747,142.407
293.4839931,142.422
296.7765385,142.437
298.6357734,142.452
297.994702,142.467
301.1275715,142.483
301.8404354,142.498
302.1564634,142.513
304.9109957,142.529
304.9917602,142.544
297.4625836,142.56
301.7144537,142.575
310.387697,142.59
312.3767529,142.606
307.3695816,142.621
312.0150665,142.637
312.5929958,142.652
310.5330478,142.667
309.8453202,142.683
312.0956829,142.698
311.4017163,142.714
313.7685958,142.729
313.6978716,142.744
316.3112389,142.76
317.929917,142.775
317.9046682,142.79
321.0172886,142.806
319.2169559,142.821
322.0584551,142.837
323.5978402,142.852
324.5590186,142.867
324.6495953,142.883
326.9143766,142.898
329.2251699,142.914
332.2166833,142.929
332.4991865,142.944
333.2246356,142.96
333.1339506,142.975
334.2116997,142.991
336.3433359,143.006
337.4427218,143.021
340.6538438,143.037
341.4470378,143.052
341.0838882,143.068
344.9777771,143.083
345.0122848,143.098
347.2034518,143.114
347.2598629,143.129
348.5554146,143.144
351.8841001,143.16
352.3498431,143.175
352.7590118,143.191
353.4752876,143.206
356.0331779,143.221
356.9316191,143.237
358.501115,143.252
359.1722838,143.268
361.2202461,143.283
361.66396,143.298
363.1206754,143.314
362.9160592,143.329
365.9099437,143.345
367.6981,143.36
366.6503404,143.375
367.9142181,143.391
369.5427533,143.406
371.1157405,143.421
373.0184636,143.436
372.2215387,143.451
372.7905203,143.467
375.5719101,143.482
376.4840693,143.497
378.1382578,143.513
379.8721144,143.528
380.9673914,143.544
382.1419721,143.559
384.4702712,143.574
382.7475631,143.59
384.6985753,143.605
387.1893525,143.621
386.5832369,143.636
390.4209034,143.652
391.3806316,143.668
389.3823105,143.683
391.8376888,143.699
395.2791126,143.714
393.5873004,143.729
396.8545391,143.745
396.4886543,143.76
399.4289725,143.775
400.2525927,143.791
401.8671531,143.806
402.6581357,143.822
402.2003795,143.837
402.9199538,143.852
402.7826234,143.868
405.6213024,143.883
408.8275736,143.899
407.9113542,143.914
410.2937609,143.929
411.040085,143.945
412.2054121,143.96
413.6986441,143.976
413.6069537,143.991
414.6614617,144.006
417.5506671,144.022
416.3315603,144.037
418.684112,144.053
418.8351209,144.068
420.6245536,144.083
420.0280279,144.099
422.6763098,144.114
423.0246608,144.129
426.4223965,144.145
426.730237,144.16
424.6179265,144.176
427.2950401,144.191
428.6916201,144.206
430.4512079,144.222
431.9355592,144.237
431.3840579,144.253
431.0485752,144.268
432.9328958,144.283
434.4498929,144.299
435.981159,144.314
437.4848211,144.33
437.6048314,144.345
438.1287539,144.36
439.3388482,144.376
440.1529077,144.391
440.443079,144.406
442.6838793,144.421
443.6646942,144.436
444.2631487,144.452
444.521823,144.467
446.3350959,144.482
447.8548928,144.498
448.4536864,144.513
449.8961986,144.529
451.2785282,144.544
452.7532979,144.559
452.539908,144.575
454.0585258,144.59
455.8881598,144.606
454.9514095,144.621
456.5652039,144.636
457.7328169,144.652
458.8859611,144.667
458.7161655,144.683
461.4235112,144.698
461.5471325,144.713
462.885444,144.729
465.1011124,144.744
462.3926235,144.759
465.2545531,144.775
465.6239149,144.79
468.4559518,144.806
469.7343095,144.821
468.1788139,144.836
470.8431214,144.852
472.6604825,144.867
473.8622158,144.883
473.2151044,144.898
473.6310981,144.913
474.1243295,144.929
477.1141905,144.944
475.4649598,144.96
477.2836018,144.975
477.9310689,144.99
479.2724311,145.006
481.4931509,145.021
480.8453722,145.037
483.575681,145.052
483.9459698,145.067
485.2421268,145.083
484.1311212,145.098
484.4551473,145.113
486.3376523,145.129
487.2024626,145.144
487.6035674,145.16
488.8697775,145.175
489.0393209,145.19
492.7457781,145.206
491.8189899,145.221
490.429025,145.237
493.4409454,145.252
493.2092157,145.267
495.3269376,145.283
496.5931892,145.298
494.7546938,145.314
496.9337624,145.329
498.3410404,145.344
499.345394,145.36
500.7673408,145.375
501.0457012,145.39
500.1803726,145.405
502.4236273,145.42
501.6024535,145.436
504.5121837,145.451
505.2085,145.466
506.3227423,145.482
507.221315,145.497
507.7157809,145.513
508.6746686,145.528
511.8035392,145.543
509.620024,145.559
508.6145662,145.574
512.0358659,145.59
514.0806553,145.605
512.8723025,145.62
512.9353109,145.636
516.0961607,145.651
515.166359,145.667
516.2488364,145.682
516.468114,145.697
518.1719278,145.713
518.2816539,145.728
518.653717,145.743
520.1421561,145.759
521.9565956,145.774
520.3709073,145.79
520.1718943,145.805
523.1495885,145.82
523.3526206,145.836
524.8250674,145.851
525.1847937,145.867
525.0281978,145.882
525.9592378,145.897
527.7455693,145.913
527.7751022,145.928
529.917463,145.944
529.8708833,145.959
530.226411,145.974
531.7808889,145.99
531.7342975,146.005
530.7093617,146.021
532.2468186,146.036
534.0176185,146.051
534.3266094,146.067
536.0219288,146.082
537.2048253,146.097
535.2760756,146.113
539.0060922,146.128
537.8110019,146.144
538.8369522,146.159
538.6330061,146.174
540.3761438,146.19
541.2158376,146.205
540.1721074,146.221
541.6823753,146.236
543.5488195,146.251
543.0997122,146.267
544.6865127,146.282
544.8556101,146.298
543.0997122,146.313
545.864894,146.328
547.0496694,146.344
547.0319885,146.359
547.9835085,146.374
550.0850768,146.389
550.0205877,146.404
550.6166841,146.42
551.0371124,146.435
552.3919882,146.45
553.0640363,146.466
553.3732597,146.481
553.6536469,146.497
554.1497984,146.513
555.3361923,146.527
555.0090008,146.543
556.0661295,146.558
555.8036338,146.574
557.6269372,146.589
556.7386052,146.604
557.4038534,146.62
559.3390591,146.635
558.918173,146.651
559.8067384,146.666
558.9830175,146.681
560.0587058,146.697
561.0228426,146.712
561.6491396,146.727
563.3335,146.743
563.0345296,146.758
563.1931221,146.774
564.3447587,146.789
564.5034199,146.804
564.8778332,146.82
565.5045939,146.835
566.8438132,146.851
567.12471,146.866
567.8738202,146.881
567.9674643,146.897
568.5293537,146.912
570.1216049,146.928
569.2133509,146.943
570.6368181,146.958
569.2133509,146.974
571.2174001,146.989
572.4637716,147.005
572.2578445,147.02
573.8880066,147.035
574.1505896,147.051
575.1533663,147.066
575.5096941,147.081
575.9784086,147.097
575.5096941,147.112
575.5661584,147.128
576.6346586,147.143
577.9191628,147.158
577.6191425,147.174
576.9909994,147.189
579.7760875,147.205
578.9601312,147.22
580.7609883,147.235
581.3238474,147.251
580.0574744,147.266
581.9336597,147.282
582.4027801,147.297
582.1213043,147.312
583.0407103,147.328
584.486198,147.343
583.5287902,147.358
584.7488273,147.373
584.0449353,147.388
585.4527861,147.404
584.5611163,147.419
585.0304028,147.434
585.6405198,147.45
586.2037492,147.465
587.8276968,147.481
588.4101426,147.496
588.9266272,147.511
588.8327183,147.527
588.7666838,147.542
589.3492323,147.558
590.476297,147.573
590.9181416,147.588
589.9405847,147.604
591.9323421,147.619
592.5900045,147.635
591.8853685,147.65
592.9380766,147.665
592.9380766,147.681
592.5900045,147.696
593.7090649,147.711
595.3345263,147.727
593.7645467,147.742
594.8452896,147.758
596.1888605,147.773
596.6312097,147.788
595.4562139,147.804
597.0542538,147.819
597.0819008,147.835
597.1289059,147.85
597.9474259,147.865
598.1354758,147.881
599.8281396,147.896
600.0356943,147.912
599.51842,147.927
599.8475904,147.942
599.7811159,147.958
600.2043395,147.973
599.5735814,147.989
599.7616667,148.004
601.474155,148.019
602.1326634,148.035
602.2542471,148.05
602.8578247,148.065
601.474155,148.081
603.4498554,148.096
603.1871431,148.112
602.5089801,148.127
604.551618,148.142
604.1359942,148.158
604.484956,148.173
604.3359465,148.189
605.0966741,148.204
605.1633606,148.219
606.7438582,148.235
606.4614578,148.25
607.0185814,148.266
605.453501,148.281
606.9321311,148.296
606.6497236,148.312
607.9677173,148.327
608.1757514,148.342
609.0232065,148.357
610.3614652,148.372
608.8546271,148.388
610.8125962,148.403
609.9922347,148.418
609.7567973,148.434
610.3416624,148.449
610.7655015,148.465
611.3033943,148.48
611.0282478,148.495
611.452113,148.511
611.6603524,148.526
613.2818345,148.542
612.7908445,148.557
612.2528133,148.572
612.1586088,148.588
613.5446016,148.603
612.9792766,148.619
612.2726809,148.634
611.6876042,148.649
614.8095227,148.665
614.9309374,148.68
613.1404999,148.695
615.4964284,148.711
614.6953288,148.726
613.1478159,148.742
615.5235779,148.757
615.429329,148.772
617.8460687,148.788
616.2033527,148.803
617.6845907,148.819
616.2976143,148.834
616.4861413,148.849
617.4559446,148.865
617.8059636,148.88
616.8231676,148.896
617.7588231,148.911
618.3445994,148.926
616.8632094,148.942
618.6746258,148.957
617.9473871,148.973
619.4089205,148.988
619.0989669,149.003
617.97447,149.019
620.3519979,149.034
619.853411,149.049
618.2302421,149.065
620.1363474,149.08
619.5774138,149.096
619.4158558,149.111
620.2778196,149.126
620.1363474,149.142
620.3048412,149.157
620.7562697,149.173
621.0997079,149.188
621.0323835,149.203
620.33186,149.219
621.0863828,149.234
621.1267093,149.25
621.4568593,149.265
620.4261712,149.28
621.5040248,149.296
622.164373,149.311
621.2412028,149.326
622.4743601,149.341
621.9555044,149.356
623.033705,149.373
622.0228649,149.387
623.2695927,149.402
623.1550055,149.418
624.5232389,149.433
623.2965352,149.449
623.9503749,149.464
623.7683203,149.479
623.903191,149.495
624.8063532,149.51
623.6942096,149.526
624.4222307,149.541
624.6647947,149.556
626.1211596,149.572
624.5166054,149.587
624.5232389,149.603
625.0625845,149.618
625.5816892,149.633
623.6470287,149.649
625.0894782,149.664
627.3012001,149.679
625.2513457,149.695
625.4401116,149.71
624.3816858,149.726
624.8535399,149.741
624.6850766,149.756
625.3523084,149.772
626.4108711,149.787
615.7991746,149.803
626.5931533,149.818
625.8917244,149.833
626.0536341,149.849
626.9504119,149.864
626.37749,149.88
618.4790373,149.895
624.9210168,149.91
625.1097744,149.926
625.2919475,149.941
625.8917244,149.957
626.7347573,149.972
626.8291614,149.987
627.4224438,150.003
626.1683577,150.018
625.9592427,150.033
626.7144073,150.049
626.7347573,150.064
625.2716466,150.08
623.4785491,150.095
625.3660321,150.11
628.1509452,150.126
627.328035,150.141
625.1097744,150.157
626.9707698,150.172
627.0179733,150.187
627.1392211,150.203
627.1595853,150.218
619.064943,150.234
617.0246406,150.249
626.5728081,150.264
625.7232696,150.28
626.3840133,150.295
625.9592427,150.31
617.5832539,150.325
617.4418243,150.34
617.1318596,150.356
625.2985367,150.371
617.6303977,150.386
619.3950319,150.402
626.0267645,150.417
625.4198044,150.433
625.7435863,150.448
626.707904,150.463
618.1219126,150.479
626.3571527,150.494
616.2833478,150.51
617.0175517,150.525
626.4246911,150.54
625.9054955,150.556
616.8089761,150.571
617.3275043,150.587
625.5279215,150.602
616.1690791,150.617
616.9432931,150.633
625.5548068,150.648
625.1300705,150.663
616.8490116,150.679
614.2567395,150.694
622.9865283,150.71
623.6942096,150.725
623.6942096,150.74
624.7525475,150.756
621.7196729,150.771
624.1121898,150.787
623.7818913,150.802
623.7885722,150.817
621.0053795,150.833
623.0808819,150.848
621.4298669,150.864
621.7330542,150.879
622.4406378,150.894
621.1940375,150.91
622.561952,150.925
619.7119469,150.941
621.1198696,150.956
620.7022523,150.971
620.6482235,150.987
621.2613692,151.002
621.3758734,151.017
619.0518167,151.033
620.9582157,151.048
620.1835045,151.064
617.778874,151.079
618.203164,151.094
619.7050212,151.11
618.5261868,151.125
617.1460231,151.141
618.5061121,151.156
618.8160701,151.171
617.0517507,151.187
617.3074692,151.202
617.5903085,151.218
616.4590158,151.233
615.6106593,151.248
615.6034845,151.264
616.0748103,151.279
615.0850606,151.294
614.7623997,151.309
615.3007362,151.324
613.7456845,151.34
613.8870394,151.355
614.2168779,151.37
612.5678318,151.386
614.2241341,151.401
612.7562757,151.417
612.2182021,151.432
612.8306145,151.447
612.5008477,151.463
611.9554222,151.478
613.3415368,151.494
611.5984222,151.509
611.0133522,151.524
611.7198935,151.54
609.8161489,151.555
610.5696506,151.571
610.05161,151.586
610.5894597,151.601
608.4232758,151.617
610.0911935,151.632
610.3341731,151.647
608.4430123,151.663
608.7528717,151.678
608.450622,151.694
608.0268888,151.709
609.7690576,151.724
606.9167378,151.74
607.8112079,151.755
608.1134199,151.771
607.7367609,151.786
606.2577236,151.801
606.3715319,151.817
607.6699686,151.832
606.5401511,151.848
606.9835,151.863
606.398936,151.878
606.4734074,151.894
607.1521142,151.909
607.4542791,151.925
608.3685749,151.94
606.7481217,151.955
607.0108875,151.971
607.7838422,151.986
608.4627487,152.001
607.8309238,152.017
607.4739824,152.032
607.0776535,152.048
608.5371842,152.063
607.6425991,152.078
609.4987404,152.094
608.7923668,152.109
608.9533884,152.125
607.1991904,152.14
607.9721705,152.155
606.9638125,152.171
606.9835,152.186
607.6896798,152.202
607.0579628,152.217
605.9949612,152.233
605.3360083,152.249
605.967544,152.264
605.3634406,152.279
607.3601209,152.294
605.3085732,152.309
603.8025739,152.325
605.9008215,152.34
603.292883,152.355
603.4261218,152.371
602.9085313,152.386
603.2653944,152.402
602.9830827,152.417
602.512587,152.432
601.2504447,152.448
602.4184914,152.463
601.9950762,152.479
600.9131247,152.494
600.4038238,152.509
600.3292258,152.525
599.7842998,152.54
600.3486908,152.556
599.8118831,152.571
599.6983802,152.586
598.5421949,152.602
598.4011318,152.617
598.824329,152.632
598.1190137,152.648
598.0913843,152.663
597.67648,152.679
596.7362488,152.694
597.0846723,152.709
597.1786974,152.725
596.8689631,152.74
594.5271743,152.756
594.9031405,152.771
594.5464453,152.786
594.6404382,152.802
594.9501377,152.817
595.0827095,152.833
595.1851277,152.848
592.7800168,152.863
594.0957537,152.879
592.4319188,152.894
593.7860419,152.91
591.7272105,152.925
592.6198524,152.94
592.7138209,152.956
592.8077906,152.971
592.0752536,152.986
592.7330305,153.002
590.834676,153.017
591.4453459,153.033
591.5584698,153.048
590.5058745,153.063
591.3897211,153.079
589.53866,153.094
589.2847395,153.11
589.585626,153.125
588.909046,153.14
589.5195575,153.156
588.1856137,153.171
589.0029676,153.187
589.5004551,153.202
589.6795591,153.217
588.3367077,153.233
587.5942687,153.248
587.3404815,153.263
587.6323444,153.278
588.2706881,153.293
586.6742909,153.309
586.8151357,153.324
587.4724466,153.339
585.5096918,153.355
586.7681871,153.37
585.4817214,153.386
586.3546156,153.401
585.5945698,153.416
584.0267608,153.432
584.0267608,153.447
584.2614126,153.463
582.600135,153.478
581.8213967,153.493
584.167551,153.509
583.8110268,153.524
583.3417446,153.54
581.9432961,153.555
581.8963812,153.57
580.320247,153.586
581.4460808,153.601
582.337487,153.616
580.9676811,153.632
580.8643298,153.647
580.9300524,153.663
579.0538882,153.678
580.6674024,153.693
579.9450071,153.709
578.1347038,153.724
579.8512,153.74
578.4629678,153.755
577.7408553,153.77
578.0409167,153.786
577.5251091,153.801
577.0657407,153.817
576.887356,153.832
576.8217928,153.847
576.0530116,153.863
576.0716623,153.878
576.9437702,153.894
576.6811376,153.909
575.5091141,153.924
574.7405095,153.94
574.9748679,153.955
575.3967315,153.97
575.3402331,153.986
574.9183465,154.001
572.0693475,154.017
573.8031502,154.032
573.774859,154.047
572.9127685,154.063
573.1841757,154.078
571.2260224,154.094
572.5379029,154.109
571.4602698,154.124
571.7882285,154.14
571.0287444,154.155
570.3359499,154.171
570.4296367,154.186
571.9004445,154.201
571.1508113,154.217
571.5071202,154.232
570.776023,154.247
569.7738539,154.262
570.3544089,154.277
569.305473,154.293
570.1386403,154.308
569.6986123,154.323
568.9960374,154.339
569.4175744,154.354
569.3238974,154.37
568.8739391,154.385
568.743455,154.4
568.8739391,154.416
569.1081268,154.431
567.5157964,154.447
567.4037806,154.462
567.1044789,154.477
568.5929237,154.493
567.0291815,154.508
567.9941639,154.524
565.5126774,154.539
566.1864029,154.554
566.7197594,154.57
566.3920042,154.585
566.0174447,154.6
566.1293988,154.616
565.6714186,154.631
564.2202916,154.647
566.0174447,154.662
564.7534457,154.677
564.0045109,154.693
563.9862655,154.708
564.5662049,154.724
564.4075179,154.739
564.1266803,154.754
563.7236798,154.77
563.7704842,154.785
562.8630426,154.801
563.4325069,154.816
563.396057,154.832
563.4793124,154.848
563.9108993,154.863
562.5250631,154.879
564.4440369,154.894
562.3664794,154.909
561.9453298,154.925
561.8231235,154.94
560.9808837,154.955
562.7304597,154.971
561.2616197,154.986
561.9348864,155.002
560.7937322,155.017
560.6896365,155.032
560.4843547,155.048
559.8942573,155.063
560.1387394,155.079
559.145743,155.094
559.9048274,155.109
559.6422406,155.125
559.3147776,155.14
559.7177031,155.156
558.8182918,155.171
559.4732087,155.186
557.9115285,155.202
559.0341066,155.217
557.8827963,155.232
549.0659265,155.247
548.5520494,155.262
557.0409513,155.278
557.2280197,155.293
557.6669713,155.308
547.3198882,155.324
555.7783628,155.339
555.6272538,155.355
548.2717678,155.37
546.8528502,155.385
556.10568,155.401
554.7209256,155.416
553.627781,155.432
555.3575478,155.447
554.3289892,155.462
553.4119474,155.478
552.8798986,155.493
552.9733798,155.509
551.3843601,155.524
552.1210439,155.539
553.037996,155.555
551.7293147,155.57
551.8695195,155.585
552.5884428,155.601
551.4667349,155.616
551.2908989,155.632
550.8881414,155.647
550.3451965,155.662
549.56208,155.678
549.504154,155.693
548.3651938,155.709
549.0369494,155.724
548.7389097,155.739
549.6443211,155.755
548.5230582,155.77
547.6822223,155.786
547.308548,155.801
548.1026284,155.816
546.3277426,155.832
546.8124418,155.847
547.2151324,155.863
546.2343393,155.878
546.8591484,155.893
545.9074371,155.909
545.2069809,155.924
545.5338522,155.939
544.7400468,155.955
546.5789133,155.97
544.5065908,155.986
544.6175639,156.001
545.4580787,156.016
544.693355,156.032
543.4503402,156.047
544.4483812,156.063
543.9172077,156.078
542.3766566,156.093
543.3569703,156.109
544.2264532,156.124
542.7034134,156.14
542.4233353,156.155
541.5364909,156.17
542.1724347,156.186
540.8014958,156.201
541.8340333,156.216
541.6590189,156.231
542.0674197,156.246
542.4408533,156.262
541.6473294,156.277
541.1164437,156.292
541.4139561,156.308
540.4805366,156.323
540.7605501,156.339
540.1364261,156.354
540.0897619,156.369
539.3780029,156.385
539.3431734,156.4
539.8564449,156.416
540.1538675,156.431
538.3341173,156.446
537.9608904,156.462
537.3077885,156.477
538.1008483,156.493
536.8706358,156.508
537.5583863,156.523
536.6081003,156.539
537.2611405,156.554
537.3077885,156.569
535.5353732,156.585
536.2816017,156.6
535.6286476,156.616
535.0862893,156.631
534.3401578,156.646
536.5321328,156.662
534.7253277,156.677
535.8324959,156.693
534.0897691,156.708
534.0431414,156.723
534.5733158,156.739
525.1595603,156.754
532.3009439,156.77
533.3143495,156.785
532.3647394,156.8
533.8738637,156.816
532.0261481,156.831
532.8014985,156.847
533.0051862,156.862
533.1622645,156.877
532.0555968,156.893
532.3524798,156.908
531.9157486,156.923
531.0938511,156.939
531.2336882,156.954
522.1497577,156.97
522.8312667,156.985
530.3947052,157
531.0938511,157.016
529.3228095,157.031
529.7422285,157.047
529.04321,157.062
519.6231356,157.077
527.7215278,157.093
526.6840279,157.108
519.5598438,157.124
527.3954101,157.139
526.4045191,157.154
526.5103056,157.17
527.7385518,157.185
526.3239812,157.2
518.3498783,157.215
527.0397221,157.23
524.6938431,157.246
517.4824765,157.261
526.2943764,157.276
525.9979249,157.292
524.6641938,157.307
517.2630161,157.323
524.6811146,157.338
523.1106233,157.353
516.5818223,157.369
524.7276879,157.384
523.3603057,157.4
515.8673956,157.415
515.0301493,157.43
522.4122515,157.446
514.9072106,157.461
522.4925025,157.477
522.1665943,157.492
512.3960022,157.507
513.2030116,157.523
512.9209197,157.538
520.2244456,157.553
520.9562033,157.569
520.4907209,157.584
508.3275876,158.027
507.6006833,158.041
507.3847682,158.056
507.4312212,158.072
509.4618063,158.087
507.7891164,158.103
507.8983946,158.118
507.5731782,158.133
508.1307008,158.149
508.1307008,158.164
508.9998568,158.18
507.5267199,158.195
508.9834601,158.21
508.2864614,158.226
508.1634382,158.241
501.6773309,158.257
499.9758651,158.272
499.6045409,158.287
500.2846851,158.303
500.3633134,158.318
499.8366163,158.333
491.1471687,158.349
491.8426663,158.364
499.5884603,158.38
490.8226254,158.395
490.3590169,158.41
490.8226254,158.426
489.8490811,158.441
498.9708272,158.457
488.8756646,158.472
489.8954374,158.487
490.2820652,158.503
489.7100138,158.518
488.0571013,158.534
490.1735817,158.549
488.9377363,158.564
487.4702935,158.58
486.7131759,158.595
488.2118385,158.61
487.3312621,158.625
486.9292152,158.64
486.7751624,158.656
486.311778,158.671
487.1458909,158.686
487.1458909,158.702
486.1571401,158.717
486.2654411,158.733
486.8678428,158.748
485.9410913,158.763
485.6167556,158.779
484.7364875,158.794
485.4006977,158.81
485.3543651,158.825
485.1534436,158.84
483.007307,158.856
484.196144,158.871
483.8255515,158.887
484.2424694,158.902
483.6713476,158.917
482.4514969,158.933
482.9146691,158.948
483.0999461,158.963
481.0003927,158.979
483.0536264,158.994
482.0346666,159.01
481.0930038,159.025
482.6059526,159.04
481.695004,159.056
480.676263,159.071
481.2473846,159.087
479.9817472,159.102
480.5527934,159.117
481.0313012,159.133
479.904567,159.148
479.3798862,159.164
477.4510809,159.179
478.9632418,159.194
478.7317828,159.21
477.7904253,159.225
478.2842492,159.241
478.8088335,159.256
478.1144491,159.271
477.2659451,159.287
477.5899357,159.302
476.5407518,159.317
477.2349888,159.333
477.0035693,159.348
474.5357292,159.364
476.5870323,159.379
476.201504,159.394
475.0446762,159.41
475.892856,159.425
473.7029823,159.441
474.905869,159.456
474.6124728,159.471
473.9957726,159.487
473.4868816,159.502
474.4121639,159.518
474.5662033,159.533
472.4229498,159.548
473.409558,159.564
473.6871364,159.579
472.8081738,159.594
473.1630601,159.609
471.5752763,159.624
471.4365341,159.64
472.6693998,159.655
472.3766954,159.67
470.7117279,159.686
471.3440408,159.701
470.8655739,159.717
471.4205505,159.732
471.5281853,159.747
470.2030625,159.763
470.5881012,159.778
470.5881012,159.794
470.3568819,159.809
471.9755686,159.824
469.1697134,159.84
468.8772492,159.855
469.9557873,159.871
468.2300028,159.886
468.2912589,159.901
468.3525185,159.917
468.6761604,159.932
467.228006,159.947
467.3516874,159.963
466.9506608,159.978
466.1186874,159.994
466.3810388,160.009
466.2423852,160.024
466.5196951,160.04
466.5196951,160.055
465.1019579,160.071
465.6565204,160.086
465.5029426,160.101
464.2239857,160.117
464.7471796,160.132
465.1168772,160.148
462.8841233,160.163
463.2537163,160.178
462.4369874,160.194
462.5145487,160.209
462.6679742,160.225
462.0987994,160.24
462.6217763,160.255
461.6830734,160.271
460.2974885,160.286
460.6207685,160.301
460.9588425,160.317
461.4983138,160.332
459.711887,160.348
459.2353823,160.363
459.5124388,160.378
459.2962819,160.394
458.6665963,160.409
459.9889701,160.425
458.0496062,160.44
458.9730495,160.455
457.6655911,160.471
459.0506837,160.486
457.5879278,160.503
456.9416263,160.517
455.6953469,160.532
456.6500212,160.548
456.2807575,160.563
455.6176386,160.578
454.6192989,160.593
456.0330505,160.608
454.8646104,160.624
454.1578488,160.639
454.1262563,160.654
453.1111395,160.67
453.9732768,160.685
454.680015,160.701
453.1572781,160.716
452.557498,160.731
452.912077,160.747
452.6352673,160.762
451.8193738,160.778
452.3729601,160.793
452.6036332,160.808
