P,T
-56.10675894,26.766
-56.62553357,26.871
-56.19535153,26.976
-55.37793598,27.082
-55.20583687,27.187
-55.24633774,27.293
-56.53949918,27.398
-56.62553357,27.503
-56.02327163,27.609
-55.71958192,27.714
-55.89420905,27.82
-56.36742738,27.925
-55.33491158,28.03
-56.32184843,28.136
-55.85373218,28.241
-56.79759931,28.347
-55.54749667,28.452
-56.62553357,28.557
-57.95370684,28.663
-56.88363066,28.768
-56.3244088,28.873
-55.6335398,28.979
-55.0337337,29.084
-55.98025103,29.19
-56.19279549,29.295
-54.51739993,29.4
-54.60095545,29.506
-55.07424136,29.611
-56.02327163,29.717
-54.73254343,29.822
-55.29188693,29.927
-55.93213542,30.033
-57.01267579,30.138
-56.01817111,30.244
-54.60345808,30.349
-56.66855038,30.454
-56.969661,30.56
-57.22515528,30.665
-55.59305419,30.77
-55.46398402,30.875
-55.55003105,30.98
-56.66855038,31.086
-55.24886202,31.191
-54.9476806,31.296
-56.57994748,31.402
-56.36742738,31.507
-55.50700766,31.613
-55.71958192,31.718
-56.45346379,31.823
-55.55003105,31.929
-56.23581339,32.034
-54.81859905,32.14
-55.7651442,32.245
-55.89420905,32.35
-55.42096013,32.456
-55.37793598,32.561
-54.90716641,32.667
-55.93723017,32.772
-56.53693161,32.877
-56.92664595,32.983
-55.42096013,33.088
-55.41843007,33.193
-55.98025103,33.299
-56.49648161,33.404
-56.4483344,33.51
-56.70899359,33.615
-55.37540737,33.72
-55.93723017,33.826
-56.36486557,33.931
-55.760061,34.037
-56.10675894,34.142
-56.45346379,34.247
-54.73003646,34.353
-56.70384689,34.458
-56.49134934,34.564
-56.36742738,34.669
-57.57184506,34.774
-56.66340657,34.88
-55.97770221,34.985
-56.70642024,35.091
-58.0879634,35.196
-57.22515528,35.301
-54.7275295,35.407
-55.760061,35.512
-56.6229631,35.617
-56.27627212,35.723
-55.07424136,35.828
-57.31377224,35.934
-57.74388855,36.039
-58.55313372,36.144
-57.43761403,36.25
-56.96449698,36.355
-56.3244088,36.461
-56.88105153,36.566
-57.91070049,36.671
-56.10931209,36.777
-55.8486432,36.882
-56.87847241,36.988
-57.05052054,37.093
-57.09611827,37.198
-57.78167995,37.304
-57.09353194,37.409
-56.969661,37.514
-57.78689879,37.619
-56.45089909,37.724
-58.6014085,37.83
-57.35678501,37.935
-56.75200846,38.04
-55.89166312,38.146
-56.87847241,38.251
-55.63607707,38.357
-56.10420579,38.462
-56.53693161,38.567
-54.29975757,38.673
-55.11978579,38.778
-56.53436403,38.884
-56.06118858,38.989
-54.85660391,39.094
-55.11474588,39.2
-56.23325592,39.305
-55.97770221,39.411
-56.10675894,39.516
-54.42634704,39.621
-54.9476806,39.727
-54.68450419,39.832
-55.37287876,39.937
-52.31772268,40.043
-51.97339978,40.148
-52.2340667,40.254
-54.59595019,40.359
-54.64398271,40.464
-56.79244683,40.57
-55.16029006,40.675
-54.46687556,40.781
-55.16029006,40.886
-55.24381346,40.991
-55.41590002,41.097
-55.97515339,41.202
-57.39720109,41.308
-58.38375637,41.413
-54.55542675,41.518
-55.93213542,41.624
-58.16611236,41.729
-57.99409629,41.835
-58.63649741,41.94
-56.31672771,42.045
-58.593498,42.151
-58.41886675,42.256
-57.90547299,42.361
-57.55883402,42.467
-60.18161788,42.572
-57.73345663,42.678
-58.20386804,42.783
-58.63649741,42.888
-57.04793564,42.994
-58.24686829,43.099
-58.28986828,43.205
-58.29249502,43.31
-59.5797506,43.415
-57.85985697,43.521
-57.17437553,43.626
-58.89184166,43.732
-58.54786294,43.837
-57.68784537,43.942
-57.68784537,44.048
-59.1094743,44.153
-58.97783382,44.258
-59.23846269,44.363
-59.53942676,44.468
-58.20386804,44.574
-58.46186573,44.679
-57.39460465,44.784
-58.50749841,44.89
-57.42982039,44.995
-58.20386804,45.101
-59.10682015,45.206
-57.65005203,45.311
-57.60444171,45.417
