Time (s),Altitude (m),Air pressure (mbar)
7.893,1160.461,871.04
7.943,1164.516,870.609
7.993,1168.535,870.181
8.043,1172.517,869.758
8.093,1176.462,869.338
8.143,1180.372,868.922
8.193,1184.246,868.51
8.243,1188.084,868.102
8.293,1191.887,867.697
8.343,1195.655,867.296
8.393,1199.387,866.899
8.443,1203.085,866.506
8.493,1206.748,866.116
8.543,1210.377,865.731
8.593,1213.971,865.348
8.643,1217.531,864.97
8.693,1221.057,864.594
8.743,1224.549,864.223
8.793,1228.008,863.855
8.843,1231.434,863.491
8.893,1234.827,863.13
8.943,1238.186,862.772
8.993,1241.513,862.418
9.043,1244.808,862.068
9.093,1248.07,861.721
9.143,1251.299,861.377
9.193,1254.497,861.037
9.243,1257.662,860.701
9.293,1260.795,860.367
9.343,1263.897,860.038
9.393,1266.967,859.711
9.443,1270.005,859.388
9.493,1273.013,859.068
9.543,1275.989,858.751
9.593,1278.935,858.438
9.643,1281.849,858.128
9.693,1284.733,857.821
9.743,1287.587,857.518
9.793,1290.409,857.217
9.843,1293.202,856.92
9.893,1295.964,856.626
9.943,1298.695,856.336
9.993,1301.397,856.049
10.043,1304.069,855.764
10.093,1306.71,855.483
10.143,1309.323,855.205
10.193,1311.905,854.931
10.243,1314.459,854.659
10.293,1316.983,854.391
10.343,1319.479,854.125
10.393,1321.945,853.863
10.443,1324.383,853.603
10.493,1326.792,853.347
10.543,1329.173,853.094
10.593,1331.525,852.844
10.643,1333.849,852.597
10.693,1336.144,852.352
10.743,1338.411,852.111
10.793,1340.649,851.873
10.843,1342.858,851.638
10.893,1345.039,851.406
10.943,1347.191,851.177
10.993,1349.315,850.951
11.043,1351.411,850.728
11.093,1353.479,850.508
11.143,1355.52,850.291
11.193,1357.533,850.077
11.243,1359.518,849.866
11.293,1361.477,849.658
11.343,1363.408,849.452
11.393,1365.312,849.25
11.443,1367.189,849.05
11.493,1369.039,848.853
11.543,1370.862,848.66
11.593,1372.658,848.468
11.643,1374.427,848.28
11.693,1376.17,848.095
11.743,1377.885,847.912
11.793,1379.574,847.733
11.843,1381.236,847.556
11.893,1382.872,847.382
11.943,1384.481,847.211
11.993,1386.064,847.042
12.043,1387.621,846.877
12.093,1389.151,846.714
12.143,1390.655,846.554
12.193,1392.133,846.397
12.243,1393.585,846.242
12.293,1395.011,846.091
12.343,1396.411,845.942
12.393,1397.785,845.796
12.443,1399.134,845.652
12.493,1400.456,845.514
12.543,1401.752,845.383
12.593,1403.023,845.254
12.643,1404.268,845.128
12.693,1405.487,845.005
12.743,1406.681,844.884
12.793,1407.849,844.766
12.843,1408.991,844.65
12.893,1410.108,844.537
12.943,1411.2,844.426
12.993,1412.266,844.318
13.043,1413.307,844.213
13.093,1414.324,844.11
13.143,1415.314,844.01
13.193,1416.28,843.912
13.243,1417.22,843.817
13.293,1418.136,843.724
13.343,1419.026,843.634
13.393,1419.89,843.547
13.443,1420.73,843.462
13.493,1421.545,843.379
13.543,1422.335,843.299
13.593,1423.1,843.222
13.643,1423.84,843.147
13.693,1424.555,843.075
13.743,1425.245,843.005
13.793,1425.91,842.938
13.843,1426.55,842.873
13.893,1427.166,842.81
13.943,1427.757,842.751
13.993,1428.323,842.693
14.043,1428.865,842.638
14.093,1429.382,842.586
14.143,1429.874,842.536
14.193,1430.342,842.489
14.243,1430.786,842.444
14.293,1431.205,842.402
14.343,1431.6,842.362
14.393,1431.971,842.324
14.443,1432.317,842.289
14.493,1432.64,842.256
14.543,1432.937,842.226
14.593,1433.211,842.199
14.643,1433.461,842.173
14.693,1433.686,842.15
14.743,1433.888,842.13
14.793,1434.065,842.112
14.843,1434.219,842.097
14.893,1434.348,842.083
14.943,1434.454,842.073
14.993,1434.536,842.064
15.043,1434.594,842.059
15.093,1434.629,842.055
15.143,1434.64,842.054
15.193,1434.626,842.055
15.243,1434.589,842.059
15.293,1434.527,842.065
15.343,1434.442,842.074
15.393,1434.332,842.085
15.443,1434.199,842.099
15.493,1434.042,842.114
15.543,1433.861,842.133
15.593,1433.656,842.153
15.643,1433.428,842.177
15.693,1433.176,842.202
15.743,1432.901,842.23
15.793,1432.603,842.26
15.843,1432.282,842.293
15.893,1431.938,842.327
15.943,1431.571,842.365
15.993,1431.181,842.404
16.043,1430.768,842.446
16.093,1430.333,842.49
16.143,1429.875,842.536
16.193,1429.395,842.585
16.243,1428.892,842.636
16.293,1428.368,842.689
16.343,1427.821,842.744
16.393,1427.252,842.802
16.443,1426.661,842.862
16.493,1426.048,842.924
16.543,1425.412,842.988
16.593,1424.754,843.054
16.643,1424.074,843.123
16.693,1423.37,843.195
16.743,1422.644,843.268
16.793,1421.894,843.344
16.843,1421.121,843.422
16.893,1420.324,843.503
16.943,1419.503,843.586
16.989,1418.736,843.664
17.029,1418.035,843.735
17.065,1417.414,843.797
17.097,1416.832,843.856
17.128,1416.257,843.915
17.158,1415.714,843.97
17.185,1415.203,844.021
17.21,1414.728,844.069
17.233,1414.272,844.115
17.256,1413.822,844.161
17.279,1413.375,844.206
17.301,1412.933,844.251
17.323,1412.492,844.296
17.344,1412.053,844.34
17.366,1411.612,844.385
17.387,1411.16,844.43
17.41,1410.689,844.478
17.433,1410.197,844.528
17.457,1409.683,844.58
17.482,1409.137,844.635
17.509,1408.546,844.695
17.539,1407.89,844.761
17.572,1407.143,844.837
17.612,1406.227,844.93
17.62,1406.041,844.949
17.632,1405.76,844.977
17.65,1405.337,845.02
17.678,1404.697,845.085
17.719,1403.726,845.183
17.765,1402.605,845.296
17.813,1401.428,845.415
17.856,1400.379,845.522
17.886,1399.617,845.601
17.914,1398.913,845.676
17.941,1398.24,845.747
17.967,1397.578,845.818
17.991,1396.945,845.885
18.015,1396.342,845.949
18.037,1395.753,846.012
18.06,1395.168,846.074
18.082,1394.589,846.136
18.104,1394.018,846.196
18.125,1393.454,846.256
18.146,1392.898,846.315
18.167,1392.347,846.374
18.189,1391.761,846.436
18.213,1391.115,846.505
18.239,1390.42,846.579
18.266,1389.691,846.657
18.296,1388.869,846.744
18.334,1387.842,846.853
18.384,1386.464,847
18.434,1385.072,847.148
18.484,1383.666,847.298
18.534,1382.244,847.449
18.579,1380.957,847.586
18.613,1379.965,847.691
18.62,1379.758,847.713
18.624,1379.635,847.713
18.915,1371.217,847.726
19.415,1356.957,848.622
19.915,1342.891,850.139
20.415,1328.95,851.635
20.915,1315.089,853.118
21.415,1301.283,854.592
21.915,1287.515,856.061
22.415,1273.774,857.525
22.915,1260.05,858.987
23.415,1246.34,860.447
23.915,1232.643,861.905
24.415,1218.959,863.362
24.915,1205.285,864.818
25.415,1191.622,866.272
25.915,1177.968,867.725
26.415,1164.324,869.178
26.915,1150.689,870.629
27.415,1137.064,872.08
27.915,1123.449,873.529
28.415,1109.842,874.977
28.915,1096.244,876.425
29.415,1082.654,877.871
29.915,1069.074,879.316
30.415,1055.503,880.761
30.915,1041.94,882.205
31.415,1028.387,883.647
31.915,1014.843,885.089
32.415,1001.308,886.53
32.915,987.782,887.969
33.415,974.264,889.408
33.915,960.755,890.846
34.415,947.256,892.283
34.915,933.765,893.719
35.415,920.283,895.154
35.915,906.81,896.588
36.415,893.345,898.021
36.915,879.889,899.489
37.415,866.442,900.993
37.915,853.004,902.495
38.415,839.575,903.996
38.915,826.154,905.497
39.415,812.743,906.996
39.915,799.341,908.495
40.415,785.948,909.992
40.915,772.565,911.488
41.415,759.19,912.983
41.915,745.823,914.478
42.415,732.466,915.971
42.915,719.117,917.464
43.415,705.777,918.955
43.915,692.447,920.445
44.415,679.126,921.935
44.915,665.813,923.423
45.415,652.508,924.91
45.915,639.212,926.397
46.415,625.924,927.882
46.915,612.646,929.367
47.415,599.377,930.85
47.915,586.116,932.333
48.415,572.864,933.815
48.915,559.621,935.295
49.415,546.385,936.775
49.915,533.158,938.253
50.415,519.94,939.731
50.915,506.73,941.208
51.415,493.529,942.684
51.915,480.336,944.159
52.415,467.151,945.633
52.915,453.974,947.106
53.415,440.805,948.578
53.915,427.645,950.049
54.415,414.492,951.52
54.915,401.347,952.989
55.415,388.211,954.458
55.915,375.082,955.991
56.415,361.962,957.531
56.915,348.851,959.07
57.415,335.748,960.607
57.915,322.654,962.144
58.415,309.568,963.68
58.915,296.491,965.215
59.415,283.422,966.748
59.915,270.362,968.281
60.415,257.309,969.813
60.915,244.266,971.344
61.415,231.23,972.873
61.42,231.112,974.402
61.421,231.087,974.416
61.422,231.06,974.419
61.423,231.032,974.422
61.424,231.005,974.425
61.425,230.977,974.429
61.426,230.949,974.432
61.427,230.921,974.435
61.428,230.892,974.439
61.43,230.863,974.442
61.431,230.834,974.445
61.432,230.804,974.449
61.433,230.775,974.452
61.435,230.744,974.456
61.436,230.714,974.459
61.437,230.683,974.463
61.438,230.652,974.466
61.44,230.621,974.47
61.441,230.589,974.474
61.442,230.557,974.477
61.444,230.524,974.481
61.445,230.491,974.485
61.447,230.458,974.489
61.448,230.425,974.493
61.45,230.391,974.497
61.451,230.356,974.501
61.453,230.321,974.505
61.454,230.286,974.509
61.456,230.25,974.513
61.457,230.214,974.517
61.459,230.178,974.521
61.461,230.141,974.526
61.463,230.103,974.53
61.464,230.065,974.534
61.466,230.027,974.539
61.468,229.988,974.543
61.47,229.948,974.548
61.472,229.908,974.553
61.474,229.868,974.557
61.476,229.826,974.562
61.478,229.784,974.567
61.48,229.742,974.572
61.482,229.699,974.577
61.484,229.655,974.582
61.486,229.611,974.587
61.488,229.566,974.592
61.491,229.52,974.597
61.493,229.473,974.603
61.495,229.426,974.608
61.498,229.378,974.614
61.5,229.329,974.619
61.503,229.28,974.625
61.506,229.229,974.631
61.508,229.178,974.637
61.511,229.125,974.643
61.514,229.072,974.649
61.517,229.018,974.655
61.52,228.962,974.662
61.523,228.906,974.668
61.526,228.848,974.675
61.529,228.79,974.682
61.533,228.73,974.688
61.536,228.669,974.695
61.54,228.606,974.703
61.543,228.543,974.71
61.547,228.477,974.717
61.551,228.411,974.725
61.555,228.342,974.733
61.559,228.272,974.741
61.564,228.201,974.749
61.568,228.128,974.758
61.573,228.052,974.766
61.578,227.975,974.775
61.583,227.896,974.784
61.588,227.814,974.793
61.593,227.731,974.803
61.599,227.644,974.813
61.605,227.556,974.823
61.611,227.464,974.833
61.618,227.369,974.844
61.624,227.272,974.855
61.631,227.171,974.867
61.639,227.066,974.878
61.646,226.958,974.891
61.655,226.846,974.903
61.663,226.729,974.916
61.672,226.609,974.93
61.682,226.483,974.944
61.692,226.352,974.959
61.702,226.215,974.974
61.714,226.071,974.99
61.726,225.921,975.007
61.739,225.763,975.025
61.753,225.597,975.043
61.768,225.418,975.063
61.784,225.234,975.084
61.802,225.037,975.106
61.821,224.829,975.129
61.839,224.635,975.153
61.858,224.424,975.176
61.883,224.165,975.2
61.911,223.884,975.231
61.943,223.565,975.264
61.978,223.232,975.301
62.02,222.836,975.34
62.069,222.387,975.387
62.128,221.866,975.439
62.196,221.28,975.501
62.262,220.724,975.569
62.378,219.772,975.634
62.504,218.773,975.746
62.734,216.995,975.863
63.004,214.952,976.072
63.504,211.21,976.311
64.004,207.484,976.75
64.24,205.726,977.187
64.74,202.008,977.393
65.108,199.266,977.83
65.56,195.902,978.151
66.06,192.174,978.546
66.56,188.444,978.983
66.971,185.376,979.42
67.471,181.649,979.78
67.865,178.718,980.217
68.236,175.954,980.561
68.736,172.226,980.885
