Time [s],Baro_P [m],Kalman_P [m],Kalman_V [m/s],Kalman_A [m/s^2],Kalman_Gain_P,Kalman_Uncertainty_P
23391,1.15,36.96,45.10,14.25,0.06289,0.00177
23443,1.15,36.92,44.37,13.76,0.06296,0.00178
23494,1.23,36.81,43.62,13.26,0.06294,0.00177
23544,1.23,36.63,42.84,12.77,0.06285,0.00177
23601,1.23,36.70,42.10,12.27,0.06330,0.00178
23653,1.23,36.52,41.29,11.78,0.06333,0.00179
23704,0.99,36.26,40.44,11.29,0.06330,0.00178
23754,0.99,35.93,39.57,10.80,0.06318,0.00178
23804,0.99,35.60,38.69,10.32,0.06308,0.00178
23856,0.99,35.31,37.81,9.84,0.06313,0.00178
23907,1.07,34.97,36.92,9.36,0.06311,0.00178
23957,1.07,34.57,36.02,8.90,0.06301,0.00178
24007,1.07,34.16,35.11,8.44,0.06291,0.00177
24059,1.07,33.80,34.21,7.98,0.06298,0.00178
24110,1.15,33.39,33.30,7.54,0.06296,0.00178
24165,1.15,33.08,32.40,7.09,0.06325,0.00178
24215,1.15,32.59,31.46,6.65,0.06314,0.00178
24267,1.15,32.14,30.54,6.22,0.06319,0.00178
24318,1.23,31.66,29.60,5.79,0.06316,0.00178
24368,1.23,31.13,28.67,5.38,0.06305,0.00178
24418,1.23,30.60,27.73,4.97,0.06296,0.00178
24470,1.23,30.10,26.81,4.57,0.06302,0.00178
24521,1.23,29.57,25.88,4.17,0.06300,0.00178
24571,1.23,29.01,24.95,3.79,0.06291,0.00177
24621,1.23,28.44,24.03,3.41,0.06282,0.00177
24673,1.23,27.90,23.12,3.04,0.06289,0.00177
24724,1.07,27.32,22.20,2.67,0.06288,0.00177
24781,1.07,26.85,21.29,2.31,0.06332,0.00179
24831,1.07,26.22,20.37,1.96,0.06321,0.00178
24883,1.07,25.62,19.47,1.62,0.06325,0.00178
24934,1.32,25.02,18.57,1.29,0.06322,0.00178
24984,1.32,24.39,17.69,0.97,0.06311,0.00178
25034,1.32,23.77,16.82,0.65,0.06301,0.00178
25086,1.32,23.17,15.96,0.35,0.06307,0.00178
25137,1.32,22.56,15.10,0.05,0.06305,0.00178
25187,1.32,21.93,14.26,-0.23,0.06295,0.00178
25237,1.32,21.30,13.43,-0.51,0.06287,0.00177
25289,1.32,20.70,12.62,-0.78,0.06293,0.00177
25345,0.90,20.11,11.78,-1.05,0.06329,0.00178
25395,0.90,19.44,10.97,-1.31,0.06318,0.00178
25445,0.90,18.79,10.17,-1.56,0.06308,0.00178
25497,0.90,18.15,9.38,-1.80,0.06313,0.00178
25548,1.07,17.52,8.61,-2.03,0.06311,0.00178
25598,1.07,16.88,7.86,-2.25,0.06301,0.00178
25648,1.07,16.25,7.13,-2.46,0.06291,0.00177
25700,1.07,15.64,6.41,-2.66,0.06298,0.00178
25751,0.90,15.02,5.69,-2.86,0.06296,0.00178
25801,0.90,14.39,5.00,-3.04,0.06287,0.00177
25851,0.90,13.78,4.32,-3.22,0.06279,0.00177
25909,0.90,13.19,3.63,-3.39,0.06331,0.00179
25960,0.66,12.57,2.96,-3.56,0.06327,0.00178
26010,0.66,11.95,2.32,-3.72,0.06316,0.00178
26060,0.66,11.34,1.70,-3.87,0.06306,0.00178
26112,0.66,10.75,1.08,-4.01,0.06312,0.00178
26163,0.90,10.17,0.50,-4.14,0.06309,0.00178
26213,0.90,9.61,-0.07,-4.26,0.06299,0.00178
26263,0.90,9.05,-0.61,-4.37,0.06290,0.00177
26315,0.90,8.50,-1.15,-4.48,0.06297,0.00178
26366,0.74,7.95,-1.67,-4.58,0.06295,0.00178
26416,0.74,7.42,-2.18,-4.67,0.06286,0.00177
26466,0.74,6.89,-2.66,-4.76,0.06278,0.00177
26523,0.74,6.35,-3.16,-4.83,0.06323,0.00178
26574,0.66,5.83,-3.62,-4.91,0.06320,0.00178
26624,0.66,5.33,-4.06,-4.97,0.06309,0.00178
26674,0.66,4.84,-4.48,-5.03,0.06299,0.00178
26726,0.66,4.35,-4.89,-5.08,0.06305,0.00178
26777,0.66,3.88,-5.28,-5.13,0.06303,0.00178
26827,0.66,3.42,-5.65,-5.17,0.06294,0.00177
26877,0.66,2.98,-6.01,-5.20,0.06285,0.00177
26929,0.66,2.53,-6.35,-5.22,0.06292,0.00177
26980,1.64,2.17,-6.64,-5.23,0.06291,0.00177
27030,1.64,1.82,-6.91,-5.23,0.06282,0.00177
27087,1.64,1.43,-7.20,-5.23,0.06327,0.00178
27139,1.64,1.09,-7.45,-5.22,0.06331,0.00179
27190,2.71,0.83,-7.64,-5.20,0.06327,0.00178
27240,2.71,0.58,-7.81,-5.17,0.06316,0.00178
27290,2.71,0.35,-7.97,-5.13,0.06306,0.00178
27342,2.71,0.10,-8.13,-5.10,0.06312,0.00178
27393,1.48,-0.21,-8.32,-5.07,0.06309,0.00178
27443,1.48,-0.50,-8.49,-5.05,0.06299,0.00178
27493,1.48,-0.78,-8.65,-5.01,0.06290,0.00177
27545,1.48,-1.06,-8.81,-4.98,0.06297,0.00178
27596,-0.08,-1.43,-9.01,-4.96,0.06295,0.00178
27651,-0.08,-1.81,-9.21,-4.94,0.06324,0.00178
27701,-0.08,-2.14,-9.37,-4.91,0.06313,0.00178
27753,-0.08,-2.47,-9.53,-4.87,0.06318,0.00178
27804,-0.82,-2.83,-9.69,-4.85,0.06315,0.00178
27854,-0.82,-3.16,-9.84,-4.81,0.06305,0.00178
27904,-0.82,-3.48,-9.97,-4.78,0.06295,0.00178
27956,-0.82,-3.81,-10.10,-4.73,0.06302,0.00178
28007,-0.41,-4.08,-10.19,-4.68,0.06300,0.00178
28057,-0.41,-4.33,-10.26,-4.63,0.06291,0.00177
28107,-0.41,-4.57,-10.33,-4.57,0.06282,0.00177
28159,-0.41,-4.82,-10.38,-4.51,0.06289,0.00177
28217,-0.66,-5.13,-10.46,-4.45,0.06341,0.00179
28267,-0.66,-5.34,-10.49,-4.38,0.06329,0.00178
28317,-0.66,-5.54,-10.51,-4.31,0.06318,0.00178
28369,-0.66,-5.75,-10.52,-4.24,0.06322,0.00178
28420,-0.74,-5.94,-10.53,-4.17,0.06319,0.00178
28470,-0.74,-6.11,-10.51,-4.10,0.06309,0.00178
28520,-0.74,-6.27,-10.49,-4.02,0.06299,0.00178
28572,-0.74,-6.44,-10.47,-3.94,0.06305,0.00178
28623,-0.82,-6.59,-10.43,-3.86,0.06303,0.00178
28673,-0.82,-6.72,-10.38,-3.78,0.06293,0.00177
28723,-0.82,-6.84,-10.33,-3.69,0.06284,0.00177
28780,-0.82,-7.02,-10.28,-3.61,0.06329,0.00178
28831,-0.49,-7.10,-10.19,-3.51,0.06325,0.00178
28881,-0.49,-7.16,-10.10,-3.42,0.06314,0.00178
28931,-0.49,-7.22,-9.99,-3.33,0.06304,0.00178
28983,-0.49,-7.29,-9.89,-3.23,0.06309,0.00178
29034,-0.66,-7.34,-9.78,-3.14,0.06307,0.00178
29084,-0.66,-7.39,-9.66,-3.05,0.06297,0.00178
29134,-0.66,-7.42,-9.53,-2.95,0.06288,0.00177
29186,-0.66,-7.46,-9.41,-2.86,0.06295,0.00178
29237,-0.66,-7.49,-9.28,-2.76,0.06294,0.00177
29287,-0.66,-7.49,-9.13,-2.67,0.06285,0.00177
29344,-0.66,-7.55,-9.00,-2.57,0.06329,0.00178
29396,-0.66,-7.56,-8.85,-2.47,0.06333,0.00179
29447,-0.74,-7.55,-8.70,-2.38,0.06329,0.00178
29497,-0.74,-7.53,-8.54,-2.28,0.06318,0.00178
29547,-0.74,-7.51,-8.37,-2.19,0.06307,0.00178
29599,-0.74,-7.49,-8.21,-2.10,0.06313,0.00178
29650,-0.58,-7.45,-8.04,-2.00,0.06310,0.00178
29700,-0.58,-7.39,-7.86,-1.91,0.06300,0.00178
29750,-0.58,-7.34,-7.68,-1.81,0.06291,0.00177
29802,-0.58,-7.29,-7.50,-1.72,0.06297,0.00178
29853,-0.90,-7.25,-7.32,-1.63,0.06296,0.00178
29908,-0.90,-7.22,-7.15,-1.54,0.06324,0.00178
29958,-0.90,-7.16,-6.97,-1.45,0.06313,0.00178
30010,-0.90,-7.11,-6.79,-1.37,0.06318,0.00178
